postpartum depression,isPartial,date
33,False,2019-01-06
16,False,2019-01-13
50,False,2019-01-20
49,False,2019-01-27
16,False,2019-02-03
15,False,2019-02-10
38,False,2019-02-17
46,False,2019-02-24
48,False,2019-03-03
41,False,2019-03-10
67,False,2019-03-17
25,False,2019-03-24
67,False,2019-03-31
43,False,2019-04-07
17,False,2019-04-14
26,False,2019-04-21
17,False,2019-04-28
68,False,2019-05-05
51,False,2019-05-12
35,False,2019-05-19
52,False,2019-05-26
33,False,2019-06-02
100,False,2019-06-09
17,False,2019-06-16
26,False,2019-06-23
18,False,2019-06-30
68,False,2019-07-07
26,False,2019-07-14
26,False,2019-07-21
53,False,2019-07-28
53,False,2019-08-04
43,False,2019-08-11
52,False,2019-08-18
17,False,2019-08-25
24,False,2019-09-01
40,False,2019-09-08
40,False,2019-09-15
63,False,2019-09-22
32,False,2019-09-29
24,False,2019-10-06
40,False,2019-10-13
31,False,2019-10-20
77,False,2019-10-27
62,False,2019-11-03
38,False,2019-11-10
38,False,2019-11-17
32,False,2019-11-24
30,False,2019-12-01
38,False,2019-12-08
31,False,2019-12-15
35,False,2019-12-22
63,False,2019-12-29
67,False,2020-01-05
22,False,2020-01-12
15,False,2020-01-19
15,False,2020-01-26
36,False,2020-02-02
15,False,2020-02-09
36,False,2020-02-16
47,False,2020-02-23
14,False,2020-03-01
27,False,2020-03-08
21,False,2020-03-15
59,False,2020-03-22
13,False,2020-03-29
39,False,2020-04-05
25,False,2020-04-12
25,False,2020-04-19
12,False,2020-04-26
56,False,2020-05-03
51,False,2020-05-10
19,False,2020-05-17
0,False,2020-05-24
31,False,2020-05-31
19,False,2020-06-07
26,False,2020-06-14
41,False,2020-06-21
85,False,2020-06-28
70,False,2020-07-05
21,False,2020-07-12
35,False,2020-07-19
59,False,2020-07-26
29,False,2020-08-02
0,False,2020-08-09
15,False,2020-08-16
14,False,2020-08-23
34,False,2020-08-30
