sad,isPartial,date
81,False,2019-01-06
80,False,2019-01-13
77,False,2019-01-20
71,False,2019-01-27
58,False,2019-02-03
66,False,2019-02-10
76,False,2019-02-17
68,False,2019-02-24
71,False,2019-03-03
67,False,2019-03-10
93,False,2019-03-17
62,False,2019-03-24
72,False,2019-03-31
71,False,2019-04-07
75,False,2019-04-14
68,False,2019-04-21
79,False,2019-04-28
74,False,2019-05-05
68,False,2019-05-12
66,False,2019-05-19
72,False,2019-05-26
77,False,2019-06-02
61,False,2019-06-09
63,False,2019-06-16
69,False,2019-06-23
63,False,2019-06-30
94,False,2019-07-07
65,False,2019-07-14
73,False,2019-07-21
70,False,2019-07-28
64,False,2019-08-04
70,False,2019-08-11
53,False,2019-08-18
53,False,2019-08-25
55,False,2019-09-01
65,False,2019-09-08
67,False,2019-09-15
80,False,2019-09-22
76,False,2019-09-29
79,False,2019-10-06
62,False,2019-10-13
63,False,2019-10-20
87,False,2019-10-27
87,False,2019-11-03
83,False,2019-11-10
84,False,2019-11-17
68,False,2019-11-24
74,False,2019-12-01
60,False,2019-12-08
72,False,2019-12-15
64,False,2019-12-22
66,False,2019-12-29
76,False,2020-01-05
100,False,2020-01-12
67,False,2020-01-19
71,False,2020-01-26
77,False,2020-02-02
77,False,2020-02-09
73,False,2020-02-16
93,False,2020-02-23
65,False,2020-03-01
93,False,2020-03-08
89,False,2020-03-15
68,False,2020-03-22
92,False,2020-03-29
91,False,2020-04-05
79,False,2020-04-12
83,False,2020-04-19
78,False,2020-04-26
82,False,2020-05-03
68,False,2020-05-10
75,False,2020-05-17
79,False,2020-05-24
82,False,2020-05-31
76,False,2020-06-07
73,False,2020-06-14
88,False,2020-06-21
74,False,2020-06-28
59,False,2020-07-05
73,False,2020-07-12
68,False,2020-07-19
72,False,2020-07-26
66,False,2020-08-02
84,False,2020-08-09
63,False,2020-08-16
73,False,2020-08-23
68,False,2020-08-30
