signs of depression,isPartial,date
38,False,2019-01-06
19,False,2019-01-13
48,False,2019-01-20
38,False,2019-01-27
37,False,2019-02-03
17,False,2019-02-10
35,False,2019-02-17
18,False,2019-02-24
46,False,2019-03-03
57,False,2019-03-10
77,False,2019-03-17
39,False,2019-03-24
29,False,2019-03-31
30,False,2019-04-07
20,False,2019-04-14
20,False,2019-04-21
49,False,2019-04-28
19,False,2019-05-05
39,False,2019-05-12
30,False,2019-05-19
0,False,2019-05-26
28,False,2019-06-02
38,False,2019-06-09
20,False,2019-06-16
20,False,2019-06-23
0,False,2019-06-30
39,False,2019-07-07
50,False,2019-07-14
40,False,2019-07-21
30,False,2019-07-28
30,False,2019-08-04
20,False,2019-08-11
20,False,2019-08-18
29,False,2019-08-25
37,False,2019-09-01
37,False,2019-09-08
37,False,2019-09-15
18,False,2019-09-22
46,False,2019-09-29
37,False,2019-10-06
18,False,2019-10-13
36,False,2019-10-20
35,False,2019-10-27
53,False,2019-11-03
61,False,2019-11-10
18,False,2019-11-17
37,False,2019-11-24
34,False,2019-12-01
61,False,2019-12-08
18,False,2019-12-15
40,False,2019-12-22
45,False,2019-12-29
43,False,2020-01-05
34,False,2020-01-12
43,False,2020-01-19
51,False,2020-01-26
49,False,2020-02-02
58,False,2020-02-09
49,False,2020-02-16
23,False,2020-02-23
24,False,2020-03-01
16,False,2020-03-08
24,False,2020-03-15
30,False,2020-03-22
30,False,2020-03-29
44,False,2020-04-05
57,False,2020-04-12
28,False,2020-04-19
43,False,2020-04-26
21,False,2020-05-03
22,False,2020-05-10
15,False,2020-05-17
15,False,2020-05-24
29,False,2020-05-31
22,False,2020-06-07
15,False,2020-06-14
24,False,2020-06-21
48,False,2020-06-28
24,False,2020-07-05
32,False,2020-07-12
16,False,2020-07-19
42,False,2020-07-26
33,False,2020-08-02
100,False,2020-08-09
25,False,2020-08-16
33,False,2020-08-23
16,False,2020-08-30
