symptoms of depression,isPartial,date
47,False,2019-01-06
58,False,2019-01-13
59,False,2019-01-20
58,False,2019-01-27
46,False,2019-02-03
54,False,2019-02-10
65,False,2019-02-17
55,False,2019-02-24
57,False,2019-03-03
71,False,2019-03-10
48,False,2019-03-17
24,False,2019-03-24
60,False,2019-03-31
0,False,2019-04-07
0,False,2019-04-14
50,False,2019-04-21
0,False,2019-04-28
48,False,2019-05-05
73,False,2019-05-12
37,False,2019-05-19
25,False,2019-05-26
70,False,2019-06-02
47,False,2019-06-09
24,False,2019-06-16
37,False,2019-06-23
25,False,2019-06-30
37,False,2019-07-07
25,False,2019-07-14
0,False,2019-07-21
75,False,2019-07-28
88,False,2019-08-04
0,False,2019-08-11
25,False,2019-08-18
48,False,2019-08-25
23,False,2019-09-01
23,False,2019-09-08
23,False,2019-09-15
34,False,2019-09-22
34,False,2019-09-29
46,False,2019-10-06
34,False,2019-10-13
100,False,2019-10-20
77,False,2019-10-27
44,False,2019-11-03
33,False,2019-11-10
44,False,2019-11-17
68,False,2019-11-24
21,False,2019-12-01
54,False,2019-12-08
22,False,2019-12-15
24,False,2019-12-22
45,False,2019-12-29
21,False,2020-01-05
21,False,2020-01-12
21,False,2020-01-19
64,False,2020-01-26
31,False,2020-02-02
72,False,2020-02-09
81,False,2020-02-16
29,False,2020-02-23
0,False,2020-03-01
58,False,2020-03-08
0,False,2020-03-15
19,False,2020-03-22
46,False,2020-03-29
37,False,2020-04-05
18,False,2020-04-12
35,False,2020-04-19
0,False,2020-04-26
26,False,2020-05-03
27,False,2020-05-10
36,False,2020-05-17
18,False,2020-05-24
27,False,2020-05-31
28,False,2020-06-07
38,False,2020-06-14
20,False,2020-06-21
0,False,2020-06-28
59,False,2020-07-05
0,False,2020-07-12
30,False,2020-07-19
42,False,2020-07-26
62,False,2020-08-02
62,False,2020-08-09
0,False,2020-08-16
30,False,2020-08-23
20,False,2020-08-30
