depressed,isPartial,date
21,False,2019-08-25
27,False,2019-09-01
13,False,2019-09-08
31,False,2019-09-15
13,False,2019-09-22
47,False,2019-09-29
36,False,2019-10-06
14,False,2019-10-13
23,False,2019-10-20
26,False,2019-10-27
22,False,2019-11-03
23,False,2019-11-10
45,False,2019-11-17
100,False,2019-11-24
23,False,2019-12-01
51,False,2019-12-08
42,False,2019-12-15
47,False,2019-12-22
50,False,2019-12-29
50,False,2020-01-05
35,False,2020-01-12
41,False,2020-01-19
22,False,2020-01-26
57,False,2020-02-02
22,False,2020-02-09
23,False,2020-02-16
26,False,2020-02-23
29,False,2020-03-01
34,False,2020-03-08
32,False,2020-03-15
11,False,2020-03-22
32,False,2020-03-29
11,False,2020-04-05
22,False,2020-04-12
15,False,2020-04-19
25,False,2020-04-26
36,False,2020-05-03
30,False,2020-05-10
12,False,2020-05-17
27,False,2020-05-24
19,False,2020-05-31
35,False,2020-06-07
16,False,2020-06-14
24,False,2020-06-21
27,False,2020-06-28
27,False,2020-07-05
24,False,2020-07-12
44,False,2020-07-19
31,False,2020-07-26
24,False,2020-08-02
24,False,2020-08-09
41,True,2020-08-16
