depressive,isPartial,date
0,False,2019-08-25
0,False,2019-09-01
31,False,2019-09-08
64,False,2019-09-15
47,False,2019-09-22
64,False,2019-09-29
32,False,2019-10-06
33,False,2019-10-13
32,False,2019-10-20
31,False,2019-10-27
32,False,2019-11-03
32,False,2019-11-10
32,False,2019-11-17
100,False,2019-11-24
0,False,2019-12-01
33,False,2019-12-08
33,False,2019-12-15
37,False,2019-12-22
34,False,2019-12-29
32,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
63,False,2020-01-26
31,False,2020-02-02
47,False,2020-02-09
33,False,2020-02-16
30,False,2020-02-23
30,False,2020-03-01
0,False,2020-03-08
85,False,2020-03-15
0,False,2020-03-22
25,False,2020-03-29
26,False,2020-04-05
26,False,2020-04-12
26,False,2020-04-19
38,False,2020-04-26
0,False,2020-05-03
27,False,2020-05-10
41,False,2020-05-17
0,False,2020-05-24
26,False,2020-05-31
0,False,2020-06-07
29,False,2020-06-14
57,False,2020-06-21
27,False,2020-06-28
28,False,2020-07-05
28,False,2020-07-12
28,False,2020-07-19
28,False,2020-07-26
28,False,2020-08-02
28,False,2020-08-09
0,True,2020-08-16
