sad,isPartial,date
65,False,2019-09-08
62,False,2019-09-15
54,False,2019-09-22
53,False,2019-09-29
79,False,2019-10-06
41,False,2019-10-13
73,False,2019-10-20
63,False,2019-10-27
57,False,2019-11-03
74,False,2019-11-10
62,False,2019-11-17
66,False,2019-11-24
87,False,2019-12-01
71,False,2019-12-08
83,False,2019-12-15
44,False,2019-12-22
46,False,2019-12-29
71,False,2020-01-05
100,False,2020-01-12
68,False,2020-01-19
44,False,2020-01-26
73,False,2020-02-02
61,False,2020-02-09
54,False,2020-02-16
66,False,2020-02-23
64,False,2020-03-01
64,False,2020-03-08
93,False,2020-03-15
60,False,2020-03-22
56,False,2020-03-29
53,False,2020-04-05
53,False,2020-04-12
41,False,2020-04-19
74,False,2020-04-26
53,False,2020-05-03
65,False,2020-05-10
52,False,2020-05-17
59,False,2020-05-24
46,False,2020-05-31
40,False,2020-06-07
46,False,2020-06-14
51,False,2020-06-21
48,False,2020-06-28
50,False,2020-07-05
49,False,2020-07-12
51,False,2020-07-19
48,False,2020-07-26
58,False,2020-08-02
64,False,2020-08-09
49,False,2020-08-16
51,False,2020-08-23
67,True,2020-08-30
