depressed,isPartial,date
78,False,2019-09-08
92,False,2019-09-15
100,False,2019-09-22
51,False,2019-09-29
66,False,2019-10-06
75,False,2019-10-13
71,False,2019-10-20
58,False,2019-10-27
71,False,2019-11-03
72,False,2019-11-10
87,False,2019-11-17
74,False,2019-11-24
69,False,2019-12-01
64,False,2019-12-08
79,False,2019-12-15
53,False,2019-12-22
87,False,2019-12-29
49,False,2020-01-05
46,False,2020-01-12
62,False,2020-01-19
76,False,2020-01-26
81,False,2020-02-02
63,False,2020-02-09
65,False,2020-02-16
76,False,2020-02-23
93,False,2020-03-01
74,False,2020-03-08
36,False,2020-03-15
46,False,2020-03-22
75,False,2020-03-29
53,False,2020-04-05
74,False,2020-04-12
63,False,2020-04-19
62,False,2020-04-26
68,False,2020-05-03
38,False,2020-05-10
82,False,2020-05-17
46,False,2020-05-24
46,False,2020-05-31
66,False,2020-06-07
70,False,2020-06-14
66,False,2020-06-21
50,False,2020-06-28
78,False,2020-07-05
29,False,2020-07-12
61,False,2020-07-19
74,False,2020-07-26
38,False,2020-08-02
54,False,2020-08-09
80,False,2020-08-16
55,False,2020-08-23
71,True,2020-08-30
