sad,isPartial,date
60,False,2019-09-08
62,False,2019-09-15
80,False,2019-09-22
77,False,2019-09-29
72,False,2019-10-06
94,False,2019-10-13
84,False,2019-10-20
63,False,2019-10-27
82,False,2019-11-03
75,False,2019-11-10
82,False,2019-11-17
63,False,2019-11-24
76,False,2019-12-01
79,False,2019-12-08
72,False,2019-12-15
70,False,2019-12-22
77,False,2019-12-29
67,False,2020-01-05
93,False,2020-01-12
67,False,2020-01-19
85,False,2020-01-26
82,False,2020-02-02
81,False,2020-02-09
72,False,2020-02-16
76,False,2020-02-23
65,False,2020-03-01
66,False,2020-03-08
69,False,2020-03-15
100,False,2020-03-22
76,False,2020-03-29
79,False,2020-04-05
62,False,2020-04-12
88,False,2020-04-19
80,False,2020-04-26
82,False,2020-05-03
76,False,2020-05-10
89,False,2020-05-17
51,False,2020-05-24
71,False,2020-05-31
69,False,2020-06-07
47,False,2020-06-14
65,False,2020-06-21
64,False,2020-06-28
61,False,2020-07-05
71,False,2020-07-12
82,False,2020-07-19
65,False,2020-07-26
71,False,2020-08-02
77,False,2020-08-09
85,False,2020-08-16
78,False,2020-08-23
94,True,2020-08-30
