depressive,isPartial,date
20,False,2019-08-25
40,False,2019-09-01
77,False,2019-09-08
58,False,2019-09-15
29,False,2019-09-22
40,False,2019-09-29
41,False,2019-10-06
40,False,2019-10-13
40,False,2019-10-20
82,False,2019-10-27
100,False,2019-11-03
19,False,2019-11-10
57,False,2019-11-17
20,False,2019-11-24
38,False,2019-12-01
39,False,2019-12-08
49,False,2019-12-15
33,False,2019-12-22
30,False,2019-12-29
37,False,2020-01-05
44,False,2020-01-12
47,False,2020-01-19
75,False,2020-01-26
73,False,2020-02-02
66,False,2020-02-09
57,False,2020-02-16
54,False,2020-02-23
44,False,2020-03-01
44,False,2020-03-08
70,False,2020-03-15
67,False,2020-03-22
42,False,2020-03-29
35,False,2020-04-05
34,False,2020-04-12
73,False,2020-04-19
41,False,2020-04-26
33,False,2020-05-03
59,False,2020-05-10
50,False,2020-05-17
34,False,2020-05-24
48,False,2020-05-31
40,False,2020-06-07
34,False,2020-06-14
53,False,2020-06-21
45,False,2020-06-28
46,False,2020-07-05
28,False,2020-07-12
47,False,2020-07-19
46,False,2020-07-26
18,False,2020-08-02
19,False,2020-08-09
0,True,2020-08-16
