dysphoric,isPartial,date
32,False,2019-08-25
0,False,2019-09-01
30,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
49,False,2019-10-06
31,False,2019-10-13
0,False,2019-10-20
32,False,2019-10-27
31,False,2019-11-03
30,False,2019-11-10
30,False,2019-11-17
31,False,2019-11-24
44,False,2019-12-01
0,False,2019-12-08
31,False,2019-12-15
0,False,2019-12-22
32,False,2019-12-29
29,False,2020-01-05
0,False,2020-01-12
30,False,2020-01-19
29,False,2020-01-26
29,False,2020-02-02
30,False,2020-02-09
30,False,2020-02-16
100,False,2020-02-23
28,False,2020-03-01
28,False,2020-03-08
0,False,2020-03-15
26,False,2020-03-22
26,False,2020-03-29
41,False,2020-04-05
27,False,2020-04-12
25,False,2020-04-19
25,False,2020-04-26
35,False,2020-05-03
26,False,2020-05-10
39,False,2020-05-17
40,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
27,False,2020-06-14
28,False,2020-06-21
66,False,2020-06-28
0,False,2020-07-05
60,False,2020-07-12
30,False,2020-07-19
73,False,2020-07-26
0,False,2020-08-02
49,False,2020-08-09
50,True,2020-08-16
