sad,isPartial,date
73,False,2019-08-25
73,False,2019-09-01
79,False,2019-09-08
83,False,2019-09-15
83,False,2019-09-22
81,False,2019-09-29
84,False,2019-10-06
85,False,2019-10-13
87,False,2019-10-20
86,False,2019-10-27
89,False,2019-11-03
88,False,2019-11-10
91,False,2019-11-17
79,False,2019-11-24
86,False,2019-12-01
89,False,2019-12-08
85,False,2019-12-15
78,False,2019-12-22
76,False,2019-12-29
90,False,2020-01-05
97,False,2020-01-12
95,False,2020-01-19
98,False,2020-01-26
93,False,2020-02-02
97,False,2020-02-09
94,False,2020-02-16
97,False,2020-02-23
95,False,2020-03-01
92,False,2020-03-08
92,False,2020-03-15
95,False,2020-03-22
97,False,2020-03-29
100,False,2020-04-05
98,False,2020-04-12
98,False,2020-04-19
96,False,2020-04-26
92,False,2020-05-03
91,False,2020-05-10
93,False,2020-05-17
91,False,2020-05-24
79,False,2020-05-31
83,False,2020-06-07
83,False,2020-06-14
86,False,2020-06-21
85,False,2020-06-28
80,False,2020-07-05
86,False,2020-07-12
83,False,2020-07-19
85,False,2020-07-26
84,False,2020-08-02
86,False,2020-08-09
89,True,2020-08-16
