feeling tired,isPartial,date
54,False,2019-01-06
52,False,2019-01-13
0,False,2019-01-20
0,False,2019-01-27
51,False,2019-02-03
51,False,2019-02-10
52,False,2019-02-17
0,False,2019-02-24
77,False,2019-03-03
0,False,2019-03-10
51,False,2019-03-17
51,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
51,False,2019-04-14
0,False,2019-04-21
0,False,2019-04-28
0,False,2019-05-05
0,False,2019-05-12
0,False,2019-05-19
0,False,2019-05-26
0,False,2019-06-02
48,False,2019-06-09
48,False,2019-06-16
0,False,2019-06-23
0,False,2019-06-30
0,False,2019-07-07
48,False,2019-07-14
100,False,2019-07-21
50,False,2019-07-28
0,False,2019-08-04
48,False,2019-08-11
49,False,2019-08-18
49,False,2019-08-25
0,False,2019-09-01
0,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
49,False,2019-10-13
0,False,2019-10-20
50,False,2019-10-27
0,False,2019-11-03
49,False,2019-11-10
0,False,2019-11-17
49,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
93,False,2020-01-05
46,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
46,False,2020-02-02
46,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
43,False,2020-03-08
44,False,2020-03-15
0,False,2020-03-22
42,False,2020-03-29
0,False,2020-04-05
81,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
40,False,2020-05-17
40,False,2020-05-24
41,False,2020-05-31
41,False,2020-06-07
43,False,2020-06-14
57,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
44,False,2020-07-12
0,False,2020-07-19
44,False,2020-07-26
0,False,2020-08-02
87,False,2020-08-09
45,False,2020-08-16
45,False,2020-08-23
0,False,2020-08-30
