feeling low energy,isPartial,date
33,False,2019-01-06
53,False,2019-01-13
43,False,2019-01-20
32,False,2019-01-27
62,False,2019-02-03
42,False,2019-02-10
42,False,2019-02-17
63,False,2019-02-24
43,False,2019-03-03
22,False,2019-03-10
22,False,2019-03-17
33,False,2019-03-24
21,False,2019-03-31
65,False,2019-04-07
45,False,2019-04-14
45,False,2019-04-21
43,False,2019-04-28
22,False,2019-05-05
0,False,2019-05-12
23,False,2019-05-19
46,False,2019-05-26
22,False,2019-06-02
22,False,2019-06-09
22,False,2019-06-16
46,False,2019-06-23
23,False,2019-06-30
0,False,2019-07-07
34,False,2019-07-14
23,False,2019-07-21
23,False,2019-07-28
46,False,2019-08-04
44,False,2019-08-11
88,False,2019-08-18
21,False,2019-08-25
0,False,2019-09-01
0,False,2019-09-08
100,False,2019-09-15
20,False,2019-09-22
41,False,2019-09-29
31,False,2019-10-06
41,False,2019-10-13
0,False,2019-10-20
20,False,2019-10-27
0,False,2019-11-03
20,False,2019-11-10
20,False,2019-11-17
0,False,2019-11-24
29,False,2019-12-01
0,False,2019-12-08
41,False,2019-12-15
23,False,2019-12-22
21,False,2019-12-29
39,False,2020-01-05
19,False,2020-01-12
0,False,2020-01-19
19,False,2020-01-26
19,False,2020-02-02
39,False,2020-02-09
0,False,2020-02-16
18,False,2020-02-23
28,False,2020-03-01
0,False,2020-03-08
27,False,2020-03-15
18,False,2020-03-22
34,False,2020-03-29
17,False,2020-04-05
67,False,2020-04-12
34,False,2020-04-19
17,False,2020-04-26
51,False,2020-05-03
43,False,2020-05-10
26,False,2020-05-17
18,False,2020-05-24
17,False,2020-05-31
0,False,2020-06-07
37,False,2020-06-14
19,False,2020-06-21
28,False,2020-06-28
57,False,2020-07-05
77,False,2020-07-12
19,False,2020-07-19
29,False,2020-07-26
19,False,2020-08-02
38,False,2020-08-09
19,False,2020-08-16
45,False,2020-08-23
36,False,2020-08-30
