feeling tired,isPartial,date
86,False,2019-01-06
71,False,2019-01-13
66,False,2019-01-20
76,False,2019-01-27
75,False,2019-02-03
75,False,2019-02-10
75,False,2019-02-17
99,False,2019-02-24
84,False,2019-03-03
69,False,2019-03-10
78,False,2019-03-17
91,False,2019-03-24
75,False,2019-03-31
77,False,2019-04-07
72,False,2019-04-14
82,False,2019-04-21
92,False,2019-04-28
89,False,2019-05-05
89,False,2019-05-12
94,False,2019-05-19
80,False,2019-05-26
89,False,2019-06-02
77,False,2019-06-09
74,False,2019-06-16
82,False,2019-06-23
89,False,2019-06-30
98,False,2019-07-07
83,False,2019-07-14
75,False,2019-07-21
96,False,2019-07-28
95,False,2019-08-04
76,False,2019-08-11
77,False,2019-08-18
75,False,2019-08-25
70,False,2019-09-01
80,False,2019-09-08
85,False,2019-09-15
95,False,2019-09-22
79,False,2019-09-29
69,False,2019-10-06
84,False,2019-10-13
81,False,2019-10-20
76,False,2019-10-27
81,False,2019-11-03
70,False,2019-11-10
68,False,2019-11-17
73,False,2019-11-24
53,False,2019-12-01
76,False,2019-12-08
70,False,2019-12-15
65,False,2019-12-22
77,False,2019-12-29
66,False,2020-01-05
80,False,2020-01-12
76,False,2020-01-19
81,False,2020-01-26
69,False,2020-02-02
79,False,2020-02-09
85,False,2020-02-16
69,False,2020-02-23
66,False,2020-03-01
92,False,2020-03-08
76,False,2020-03-15
68,False,2020-03-22
63,False,2020-03-29
71,False,2020-04-05
73,False,2020-04-12
68,False,2020-04-19
58,False,2020-04-26
74,False,2020-05-03
76,False,2020-05-10
88,False,2020-05-17
76,False,2020-05-24
74,False,2020-05-31
84,False,2020-06-07
96,False,2020-06-14
91,False,2020-06-21
76,False,2020-06-28
100,False,2020-07-05
90,False,2020-07-12
86,False,2020-07-19
84,False,2020-07-26
84,False,2020-08-02
93,False,2020-08-09
70,False,2020-08-16
78,False,2020-08-23
84,False,2020-08-30
