low motivation,isPartial,date
93,False,2019-01-06
50,False,2019-01-13
66,False,2019-01-20
66,False,2019-01-27
96,False,2019-02-03
57,False,2019-02-10
73,False,2019-02-17
64,False,2019-02-24
50,False,2019-03-03
50,False,2019-03-10
51,False,2019-03-17
42,False,2019-03-24
42,False,2019-03-31
51,False,2019-04-07
43,False,2019-04-14
78,False,2019-04-21
42,False,2019-04-28
42,False,2019-05-05
78,False,2019-05-12
44,False,2019-05-19
53,False,2019-05-26
51,False,2019-06-02
78,False,2019-06-09
35,False,2019-06-16
27,False,2019-06-23
54,False,2019-06-30
35,False,2019-07-07
17,False,2019-07-14
45,False,2019-07-21
27,False,2019-07-28
88,False,2019-08-04
51,False,2019-08-11
59,False,2019-08-18
33,False,2019-08-25
71,False,2019-09-01
79,False,2019-09-08
47,False,2019-09-15
63,False,2019-09-22
48,False,2019-09-29
87,False,2019-10-06
56,False,2019-10-13
100,False,2019-10-20
55,False,2019-10-27
54,False,2019-11-03
69,False,2019-11-10
78,False,2019-11-17
41,False,2019-11-24
91,False,2019-12-01
63,False,2019-12-08
32,False,2019-12-15
36,False,2019-12-22
16,False,2019-12-29
38,False,2020-01-05
51,False,2020-01-12
61,False,2020-01-19
44,False,2020-01-26
67,False,2020-02-02
90,False,2020-02-09
44,False,2020-02-16
79,False,2020-02-23
57,False,2020-03-01
79,False,2020-03-08
35,False,2020-03-15
27,False,2020-03-22
47,False,2020-03-29
81,False,2020-04-05
53,False,2020-04-12
85,False,2020-04-19
79,False,2020-04-26
85,False,2020-05-03
94,False,2020-05-10
61,False,2020-05-17
42,False,2020-05-24
34,False,2020-05-31
35,False,2020-06-07
14,False,2020-06-14
86,False,2020-06-21
15,False,2020-06-28
37,False,2020-07-05
59,False,2020-07-12
0,False,2020-07-19
45,False,2020-07-26
45,False,2020-08-02
52,False,2020-08-09
66,False,2020-08-16
70,False,2020-08-23
42,False,2020-08-30
