feeling sad,isPartial,date
23,False,2019-01-06
0,False,2019-01-13
23,False,2019-01-20
23,False,2019-01-27
0,False,2019-02-03
21,False,2019-02-10
0,False,2019-02-17
22,False,2019-02-24
23,False,2019-03-03
24,False,2019-03-10
48,False,2019-03-17
0,False,2019-03-24
0,False,2019-03-31
24,False,2019-04-07
0,False,2019-04-14
25,False,2019-04-21
24,False,2019-04-28
36,False,2019-05-05
0,False,2019-05-12
25,False,2019-05-19
24,False,2019-05-26
23,False,2019-06-02
23,False,2019-06-09
0,False,2019-06-16
25,False,2019-06-23
25,False,2019-06-30
24,False,2019-07-07
0,False,2019-07-14
25,False,2019-07-21
50,False,2019-07-28
100,False,2019-08-04
0,False,2019-08-11
24,False,2019-08-18
24,False,2019-08-25
23,False,2019-09-01
45,False,2019-09-08
23,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
45,False,2019-10-06
23,False,2019-10-13
22,False,2019-10-20
22,False,2019-10-27
0,False,2019-11-03
86,False,2019-11-10
22,False,2019-11-17
0,False,2019-11-24
21,False,2019-12-01
0,False,2019-12-08
22,False,2019-12-15
25,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
21,False,2020-01-12
21,False,2020-01-19
0,False,2020-01-26
20,False,2020-02-02
41,False,2020-02-09
20,False,2020-02-16
0,False,2020-02-23
19,False,2020-03-01
19,False,2020-03-08
19,False,2020-03-15
0,False,2020-03-22
27,False,2020-03-29
18,False,2020-04-05
0,False,2020-04-12
17,False,2020-04-19
53,False,2020-04-26
0,False,2020-05-03
18,False,2020-05-10
0,False,2020-05-17
18,False,2020-05-24
18,False,2020-05-31
18,False,2020-06-07
28,False,2020-06-14
0,False,2020-06-21
20,False,2020-06-28
0,False,2020-07-05
20,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
20,False,2020-08-02
21,False,2020-08-09
0,False,2020-08-16
20,False,2020-08-23
0,False,2020-08-30
