feeling tired,isPartial,date
0,False,2019-01-06
23,False,2019-01-13
24,False,2019-01-20
23,False,2019-01-27
23,False,2019-02-03
53,False,2019-02-10
0,False,2019-02-17
0,False,2019-02-24
23,False,2019-03-03
46,False,2019-03-10
24,False,2019-03-17
59,False,2019-03-24
24,False,2019-03-31
36,False,2019-04-07
0,False,2019-04-14
37,False,2019-04-21
24,False,2019-04-28
24,False,2019-05-05
24,False,2019-05-12
25,False,2019-05-19
24,False,2019-05-26
35,False,2019-06-02
35,False,2019-06-09
36,False,2019-06-16
0,False,2019-06-23
50,False,2019-06-30
24,False,2019-07-07
49,False,2019-07-14
50,False,2019-07-21
37,False,2019-07-28
37,False,2019-08-04
37,False,2019-08-11
24,False,2019-08-18
36,False,2019-08-25
46,False,2019-09-01
0,False,2019-09-08
45,False,2019-09-15
23,False,2019-09-22
23,False,2019-09-29
45,False,2019-10-06
56,False,2019-10-13
44,False,2019-10-20
43,False,2019-10-27
44,False,2019-11-03
0,False,2019-11-10
43,False,2019-11-17
45,False,2019-11-24
21,False,2019-12-01
54,False,2019-12-08
22,False,2019-12-15
74,False,2019-12-22
45,False,2019-12-29
0,False,2020-01-05
31,False,2020-01-12
21,False,2020-01-19
21,False,2020-01-26
30,False,2020-02-02
20,False,2020-02-09
100,False,2020-02-16
0,False,2020-02-23
29,False,2020-03-01
77,False,2020-03-08
0,False,2020-03-15
19,False,2020-03-22
0,False,2020-03-29
18,False,2020-04-05
18,False,2020-04-12
35,False,2020-04-19
17,False,2020-04-26
26,False,2020-05-03
0,False,2020-05-10
71,False,2020-05-17
18,False,2020-05-24
62,False,2020-05-31
27,False,2020-06-07
19,False,2020-06-14
29,False,2020-06-21
20,False,2020-06-28
59,False,2020-07-05
49,False,2020-07-12
30,False,2020-07-19
72,False,2020-07-26
20,False,2020-08-02
41,False,2020-08-09
42,False,2020-08-16
20,False,2020-08-23
19,False,2020-08-30
