suicide club + suicide group,isPartial,date
47,False,2019-01-06
45,False,2019-01-13
46,False,2019-01-20
46,False,2019-01-27
44,False,2019-02-03
45,False,2019-02-10
44,False,2019-02-17
45,False,2019-02-24
70,False,2019-03-03
0,False,2019-03-10
47,False,2019-03-17
46,False,2019-03-24
0,False,2019-03-31
48,False,2019-04-07
72,False,2019-04-14
0,False,2019-04-21
0,False,2019-04-28
0,False,2019-05-05
0,False,2019-05-12
50,False,2019-05-19
0,False,2019-05-26
49,False,2019-06-02
0,False,2019-06-09
50,False,2019-06-16
50,False,2019-06-23
0,False,2019-06-30
100,False,2019-07-07
0,False,2019-07-14
0,False,2019-07-21
0,False,2019-07-28
48,False,2019-08-04
46,False,2019-08-11
46,False,2019-08-18
45,False,2019-08-25
89,False,2019-09-01
44,False,2019-09-08
66,False,2019-09-15
0,False,2019-09-22
68,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
44,False,2019-10-20
0,False,2019-10-27
43,False,2019-11-03
43,False,2019-11-10
43,False,2019-11-17
65,False,2019-11-24
43,False,2019-12-01
0,False,2019-12-08
45,False,2019-12-15
47,False,2019-12-22
45,False,2019-12-29
42,False,2020-01-05
40,False,2020-01-12
42,False,2020-01-19
41,False,2020-01-26
81,False,2020-02-02
40,False,2020-02-09
40,False,2020-02-16
0,False,2020-02-23
78,False,2020-03-01
0,False,2020-03-08
39,False,2020-03-15
0,False,2020-03-22
73,False,2020-03-29
0,False,2020-04-05
36,False,2020-04-12
0,False,2020-04-19
36,False,2020-04-26
37,False,2020-05-03
37,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
37,False,2020-05-31
0,False,2020-06-07
38,False,2020-06-14
39,False,2020-06-21
0,False,2020-06-28
40,False,2020-07-05
0,False,2020-07-12
41,False,2020-07-19
41,False,2020-07-26
39,False,2020-08-02
0,False,2020-08-09
38,False,2020-08-16
0,False,2020-08-23
38,False,2020-08-30
