suicide prevention,isPartial,date
100,False,2019-09-08
29,False,2019-09-15
11,False,2019-09-22
35,False,2019-09-29
14,False,2019-10-06
16,False,2019-10-13
13,False,2019-10-20
19,False,2019-10-27
15,False,2019-11-03
0,False,2019-11-10
23,False,2019-11-17
13,False,2019-11-24
13,False,2019-12-01
16,False,2019-12-08
12,False,2019-12-15
9,False,2019-12-22
16,False,2019-12-29
15,False,2020-01-05
17,False,2020-01-12
10,False,2020-01-19
15,False,2020-01-26
15,False,2020-02-02
12,False,2020-02-09
12,False,2020-02-16
7,False,2020-02-23
12,False,2020-03-01
28,False,2020-03-08
14,False,2020-03-15
7,False,2020-03-22
6,False,2020-03-29
11,False,2020-04-05
20,False,2020-04-12
13,False,2020-04-19
15,False,2020-04-26
7,False,2020-05-03
13,False,2020-05-10
14,False,2020-05-17
10,False,2020-05-24
7,False,2020-05-31
10,False,2020-06-07
14,False,2020-06-14
10,False,2020-06-21
18,False,2020-06-28
15,False,2020-07-05
17,False,2020-07-12
22,False,2020-07-19
10,False,2020-07-26
23,False,2020-08-02
0,False,2020-08-09
20,False,2020-08-16
18,False,2020-08-23
49,True,2020-08-30
