suicide assessment,isPartial,date
37,False,2019-01-06
51,False,2019-01-13
48,False,2019-01-20
53,False,2019-01-27
54,False,2019-02-03
68,False,2019-02-10
66,False,2019-02-17
66,False,2019-02-24
66,False,2019-03-03
54,False,2019-03-10
65,False,2019-03-17
96,False,2019-03-24
44,False,2019-03-31
46,False,2019-04-07
51,False,2019-04-14
45,False,2019-04-21
57,False,2019-04-28
39,False,2019-05-05
53,False,2019-05-12
46,False,2019-05-19
46,False,2019-05-26
66,False,2019-06-02
55,False,2019-06-09
37,False,2019-06-16
63,False,2019-06-23
50,False,2019-06-30
32,False,2019-07-07
32,False,2019-07-14
41,False,2019-07-21
38,False,2019-07-28
40,False,2019-08-04
53,False,2019-08-11
57,False,2019-08-18
58,False,2019-08-25
34,False,2019-09-01
58,False,2019-09-08
62,False,2019-09-15
83,False,2019-09-22
78,False,2019-09-29
84,False,2019-10-06
61,False,2019-10-13
76,False,2019-10-20
65,False,2019-10-27
43,False,2019-11-03
70,False,2019-11-10
100,False,2019-11-17
38,False,2019-11-24
47,False,2019-12-01
50,False,2019-12-08
39,False,2019-12-15
12,False,2019-12-22
23,False,2019-12-29
45,False,2020-01-05
45,False,2020-01-12
54,False,2020-01-19
46,False,2020-01-26
53,False,2020-02-02
62,False,2020-02-09
75,False,2020-02-16
55,False,2020-02-23
69,False,2020-03-01
46,False,2020-03-08
45,False,2020-03-15
42,False,2020-03-22
43,False,2020-03-29
42,False,2020-04-05
62,False,2020-04-12
46,False,2020-04-19
50,False,2020-04-26
57,False,2020-05-03
35,False,2020-05-10
39,False,2020-05-17
32,False,2020-05-24
35,False,2020-05-31
42,False,2020-06-07
35,False,2020-06-14
49,False,2020-06-21
32,False,2020-06-28
56,False,2020-07-05
50,False,2020-07-12
76,False,2020-07-19
74,False,2020-07-26
32,False,2020-08-02
41,False,2020-08-09
49,False,2020-08-16
39,False,2020-08-23
56,False,2020-08-30
