suicide assessment + suicide risk assessment + suicide safety assessment + suicide safety plan app,isPartial,date
42,False,2019-01-06
47,False,2019-01-13
52,False,2019-01-20
49,False,2019-01-27
58,False,2019-02-03
77,False,2019-02-10
67,False,2019-02-17
63,False,2019-02-24
65,False,2019-03-03
55,False,2019-03-10
64,False,2019-03-17
72,False,2019-03-24
48,False,2019-03-31
79,False,2019-04-07
59,False,2019-04-14
57,False,2019-04-21
58,False,2019-04-28
42,False,2019-05-05
60,False,2019-05-12
47,False,2019-05-19
61,False,2019-05-26
74,False,2019-06-02
51,False,2019-06-09
38,False,2019-06-16
50,False,2019-06-23
31,False,2019-06-30
41,False,2019-07-07
49,False,2019-07-14
34,False,2019-07-21
56,False,2019-07-28
49,False,2019-08-04
38,False,2019-08-11
51,False,2019-08-18
49,False,2019-08-25
40,False,2019-09-01
64,False,2019-09-08
66,False,2019-09-15
62,False,2019-09-22
65,False,2019-09-29
100,False,2019-10-06
70,False,2019-10-13
64,False,2019-10-20
56,False,2019-10-27
52,False,2019-11-03
51,False,2019-11-10
46,False,2019-11-17
33,False,2019-11-24
62,False,2019-12-01
66,False,2019-12-08
42,False,2019-12-15
25,False,2019-12-22
28,False,2019-12-29
55,False,2020-01-05
39,False,2020-01-12
48,False,2020-01-19
53,False,2020-01-26
51,False,2020-02-02
63,False,2020-02-09
42,False,2020-02-16
56,False,2020-02-23
56,False,2020-03-01
67,False,2020-03-08
35,False,2020-03-15
45,False,2020-03-22
44,False,2020-03-29
24,False,2020-04-05
56,False,2020-04-12
49,False,2020-04-19
47,False,2020-04-26
48,False,2020-05-03
34,False,2020-05-10
51,False,2020-05-17
31,False,2020-05-24
38,False,2020-05-31
58,False,2020-06-07
42,False,2020-06-14
52,False,2020-06-21
44,False,2020-06-28
58,False,2020-07-05
58,False,2020-07-12
78,False,2020-07-19
56,False,2020-07-26
44,False,2020-08-02
42,False,2020-08-09
39,False,2020-08-16
55,False,2020-08-23
81,False,2020-08-30
