suicide chat room,isPartial,date
0,False,2019-01-06
0,False,2019-01-13
25,False,2019-01-20
0,False,2019-01-27
49,False,2019-02-03
74,False,2019-02-10
25,False,2019-02-17
0,False,2019-02-24
100,False,2019-03-03
25,False,2019-03-10
0,False,2019-03-17
26,False,2019-03-24
26,False,2019-03-31
0,False,2019-04-07
0,False,2019-04-14
0,False,2019-04-21
0,False,2019-04-28
52,False,2019-05-05
40,False,2019-05-12
27,False,2019-05-19
40,False,2019-05-26
0,False,2019-06-02
79,False,2019-06-09
26,False,2019-06-16
0,False,2019-06-23
28,False,2019-06-30
26,False,2019-07-07
0,False,2019-07-14
27,False,2019-07-21
0,False,2019-07-28
27,False,2019-08-04
26,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
48,False,2019-09-08
48,False,2019-09-15
24,False,2019-09-22
0,False,2019-09-29
49,False,2019-10-06
0,False,2019-10-13
24,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
24,False,2019-12-15
27,False,2019-12-22
0,False,2019-12-29
47,False,2020-01-05
22,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
22,False,2020-02-16
22,False,2020-02-23
0,False,2020-03-01
44,False,2020-03-08
42,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
21,False,2020-04-05
0,False,2020-04-12
39,False,2020-04-19
20,False,2020-04-26
0,False,2020-05-03
20,False,2020-05-10
0,False,2020-05-17
42,False,2020-05-24
0,False,2020-05-31
21,False,2020-06-07
0,False,2020-06-14
22,False,2020-06-21
23,False,2020-06-28
34,False,2020-07-05
0,False,2020-07-12
23,False,2020-07-19
0,False,2020-07-26
23,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
43,False,2020-08-30
