suicide club,isPartial,date
32,False,2019-01-06
36,False,2019-01-13
47,False,2019-01-20
40,False,2019-01-27
24,False,2019-02-03
35,False,2019-02-10
42,False,2019-02-17
50,False,2019-02-24
100,False,2019-03-03
38,False,2019-03-10
62,False,2019-03-17
48,False,2019-03-24
50,False,2019-03-31
45,False,2019-04-07
40,False,2019-04-14
26,False,2019-04-21
36,False,2019-04-28
39,False,2019-05-05
25,False,2019-05-12
24,False,2019-05-19
21,False,2019-05-26
32,False,2019-06-02
32,False,2019-06-09
42,False,2019-06-16
29,False,2019-06-23
37,False,2019-06-30
30,False,2019-07-07
28,False,2019-07-14
41,False,2019-07-21
34,False,2019-07-28
47,False,2019-08-04
30,False,2019-08-11
25,False,2019-08-18
44,False,2019-08-25
26,False,2019-09-01
38,False,2019-09-08
46,False,2019-09-15
36,False,2019-09-22
32,False,2019-09-29
30,False,2019-10-06
32,False,2019-10-13
46,False,2019-10-20
65,False,2019-10-27
40,False,2019-11-03
25,False,2019-11-10
44,False,2019-11-17
35,False,2019-11-24
22,False,2019-12-01
25,False,2019-12-08
39,False,2019-12-15
36,False,2019-12-22
38,False,2019-12-29
27,False,2020-01-05
28,False,2020-01-12
25,False,2020-01-19
34,False,2020-01-26
36,False,2020-02-02
22,False,2020-02-09
40,False,2020-02-16
27,False,2020-02-23
27,False,2020-03-01
27,False,2020-03-08
30,False,2020-03-15
15,False,2020-03-22
32,False,2020-03-29
31,False,2020-04-05
23,False,2020-04-12
49,False,2020-04-19
23,False,2020-04-26
37,False,2020-05-03
35,False,2020-05-10
29,False,2020-05-17
21,False,2020-05-24
25,False,2020-05-31
32,False,2020-06-07
31,False,2020-06-14
31,False,2020-06-21
28,False,2020-06-28
58,False,2020-07-05
26,False,2020-07-12
30,False,2020-07-19
47,False,2020-07-26
30,False,2020-08-02
46,False,2020-08-09
28,False,2020-08-16
32,False,2020-08-23
11,False,2020-08-30
