suicide helpline,isPartial,date
21,False,2019-01-06
20,False,2019-01-13
31,False,2019-01-20
20,False,2019-01-27
20,False,2019-02-03
30,False,2019-02-10
40,False,2019-02-17
50,False,2019-02-24
51,False,2019-03-03
21,False,2019-03-10
0,False,2019-03-17
63,False,2019-03-24
52,False,2019-03-31
31,False,2019-04-07
22,False,2019-04-14
43,False,2019-04-21
52,False,2019-04-28
52,False,2019-05-05
21,False,2019-05-12
43,False,2019-05-19
54,False,2019-05-26
31,False,2019-06-02
64,False,2019-06-09
43,False,2019-06-16
22,False,2019-06-23
22,False,2019-06-30
43,False,2019-07-07
43,False,2019-07-14
66,False,2019-07-21
55,False,2019-07-28
43,False,2019-08-04
32,False,2019-08-11
63,False,2019-08-18
20,False,2019-08-25
30,False,2019-09-01
49,False,2019-09-08
38,False,2019-09-15
0,False,2019-09-22
49,False,2019-09-29
20,False,2019-10-06
49,False,2019-10-13
19,False,2019-10-20
29,False,2019-10-27
39,False,2019-11-03
38,False,2019-11-10
19,False,2019-11-17
20,False,2019-11-24
28,False,2019-12-01
19,False,2019-12-08
78,False,2019-12-15
33,False,2019-12-22
41,False,2019-12-29
37,False,2020-01-05
36,False,2020-01-12
38,False,2020-01-19
18,False,2020-01-26
37,False,2020-02-02
37,False,2020-02-09
18,False,2020-02-16
71,False,2020-02-23
18,False,2020-03-01
61,False,2020-03-08
35,False,2020-03-15
59,False,2020-03-22
74,False,2020-03-29
100,False,2020-04-05
41,False,2020-04-12
24,False,2020-04-19
41,False,2020-04-26
57,False,2020-05-03
67,False,2020-05-10
25,False,2020-05-17
69,False,2020-05-24
17,False,2020-05-31
43,False,2020-06-07
79,False,2020-06-14
80,False,2020-06-21
46,False,2020-06-28
45,False,2020-07-05
36,False,2020-07-12
46,False,2020-07-19
74,False,2020-07-26
64,False,2020-08-02
64,False,2020-08-09
54,False,2020-08-16
79,False,2020-08-23
51,False,2020-08-30
