suicide hotline number,isPartial,date
36,False,2019-01-06
27,False,2019-01-13
20,False,2019-01-20
40,False,2019-01-27
34,False,2019-02-03
20,False,2019-02-10
20,False,2019-02-17
29,False,2019-02-24
28,False,2019-03-03
33,False,2019-03-10
41,False,2019-03-17
44,False,2019-03-24
23,False,2019-03-31
18,False,2019-04-07
18,False,2019-04-14
50,False,2019-04-21
56,False,2019-04-28
56,False,2019-05-05
42,False,2019-05-12
58,False,2019-05-19
59,False,2019-05-26
75,False,2019-06-02
52,False,2019-06-09
71,False,2019-06-16
54,False,2019-06-23
44,False,2019-06-30
47,False,2019-07-07
52,False,2019-07-14
51,False,2019-07-21
27,False,2019-07-28
29,False,2019-08-04
36,False,2019-08-11
28,False,2019-08-18
57,False,2019-08-25
39,False,2019-09-01
100,False,2019-09-08
56,False,2019-09-15
60,False,2019-09-22
74,False,2019-09-29
65,False,2019-10-06
82,False,2019-10-13
78,False,2019-10-20
64,False,2019-10-27
76,False,2019-11-03
73,False,2019-11-10
54,False,2019-11-17
64,False,2019-11-24
73,False,2019-12-01
68,False,2019-12-08
86,False,2019-12-15
99,False,2019-12-22
72,False,2019-12-29
69,False,2020-01-05
75,False,2020-01-12
89,False,2020-01-19
70,False,2020-01-26
74,False,2020-02-02
45,False,2020-02-09
56,False,2020-02-16
69,False,2020-02-23
63,False,2020-03-01
71,False,2020-03-08
38,False,2020-03-15
62,False,2020-03-22
61,False,2020-03-29
53,False,2020-04-05
64,False,2020-04-12
43,False,2020-04-19
42,False,2020-04-26
74,False,2020-05-03
47,False,2020-05-10
37,False,2020-05-17
51,False,2020-05-24
41,False,2020-05-31
56,False,2020-06-07
71,False,2020-06-14
52,False,2020-06-21
69,False,2020-06-28
91,False,2020-07-05
60,False,2020-07-12
66,False,2020-07-19
45,False,2020-07-26
38,False,2020-08-02
62,False,2020-08-09
51,False,2020-08-16
68,False,2020-08-23
86,False,2020-08-30
