suicide questionnaire,isPartial,date
40,False,2019-09-08
39,False,2019-09-15
79,False,2019-09-22
40,False,2019-09-29
40,False,2019-10-06
40,False,2019-10-13
58,False,2019-10-20
40,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
41,False,2019-11-24
57,False,2019-12-01
39,False,2019-12-08
40,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
64,False,2020-01-05
0,False,2020-01-12
77,False,2020-01-19
50,False,2020-01-26
50,False,2020-02-02
38,False,2020-02-09
0,False,2020-02-16
36,False,2020-02-23
54,False,2020-03-01
53,False,2020-03-08
59,False,2020-03-15
69,False,2020-03-22
34,False,2020-03-29
34,False,2020-04-05
100,False,2020-04-12
33,False,2020-04-19
33,False,2020-04-26
33,False,2020-05-03
0,False,2020-05-10
34,False,2020-05-17
0,False,2020-05-24
34,False,2020-05-31
35,False,2020-06-07
54,False,2020-06-14
36,False,2020-06-21
37,False,2020-06-28
37,False,2020-07-05
56,False,2020-07-12
88,False,2020-07-19
38,False,2020-07-26
37,False,2020-08-02
37,False,2020-08-09
0,False,2020-08-16
35,False,2020-08-23
0,True,2020-08-30
