suicide quotes,isPartial,date
39,False,2015-09-20
35,False,2015-09-27
48,False,2015-10-04
42,False,2015-10-11
35,False,2015-10-18
42,False,2015-10-25
38,False,2015-11-01
34,False,2015-11-08
36,False,2015-11-15
33,False,2015-11-22
40,False,2015-11-29
29,False,2015-12-06
36,False,2015-12-13
24,False,2015-12-20
31,False,2015-12-27
28,False,2016-01-03
31,False,2016-01-10
35,False,2016-01-17
32,False,2016-01-24
24,False,2016-01-31
37,False,2016-02-07
26,False,2016-02-14
30,False,2016-02-21
42,False,2016-02-28
27,False,2016-03-06
30,False,2016-03-13
24,False,2016-03-20
27,False,2016-03-27
40,False,2016-04-03
30,False,2016-04-10
27,False,2016-04-17
35,False,2016-04-24
41,False,2016-05-01
28,False,2016-05-08
31,False,2016-05-15
37,False,2016-05-22
32,False,2016-05-29
28,False,2016-06-05
23,False,2016-06-12
31,False,2016-06-19
21,False,2016-06-26
27,False,2016-07-03
28,False,2016-07-10
29,False,2016-07-17
29,False,2016-07-24
47,False,2016-07-31
71,False,2016-08-07
62,False,2016-08-14
56,False,2016-08-21
51,False,2016-08-28
59,False,2016-09-04
40,False,2016-09-11
42,False,2016-09-18
52,False,2016-09-25
45,False,2016-10-02
35,False,2016-10-09
31,False,2016-10-16
43,False,2016-10-23
50,False,2016-10-30
37,False,2016-11-06
41,False,2016-11-13
33,False,2016-11-20
32,False,2016-11-27
37,False,2016-12-04
39,False,2016-12-11
33,False,2016-12-18
33,False,2016-12-25
33,False,2017-01-01
29,False,2017-01-08
39,False,2017-01-15
25,False,2017-01-22
35,False,2017-01-29
24,False,2017-02-05
31,False,2017-02-12
34,False,2017-02-19
33,False,2017-02-26
38,False,2017-03-05
28,False,2017-03-12
32,False,2017-03-19
33,False,2017-03-26
30,False,2017-04-02
35,False,2017-04-09
42,False,2017-04-16
35,False,2017-04-23
43,False,2017-04-30
38,False,2017-05-07
33,False,2017-05-14
32,False,2017-05-21
33,False,2017-05-28
26,False,2017-06-04
28,False,2017-06-11
24,False,2017-06-18
23,False,2017-06-25
23,False,2017-07-02
26,False,2017-07-09
32,False,2017-07-16
31,False,2017-07-23
23,False,2017-07-30
21,False,2017-08-06
23,False,2017-08-13
22,False,2017-08-20
30,False,2017-08-27
28,False,2017-09-03
37,False,2017-09-10
33,False,2017-09-17
28,False,2017-09-24
29,False,2017-10-01
38,False,2017-10-08
33,False,2017-10-15
31,False,2017-10-22
36,False,2017-10-29
31,False,2017-11-05
36,False,2017-11-12
26,False,2017-11-19
30,False,2017-11-26
30,False,2017-12-03
30,False,2017-12-10
29,False,2017-12-17
27,False,2017-12-24
25,False,2017-12-31
24,False,2018-01-07
24,False,2018-01-14
26,False,2018-01-21
29,False,2018-01-28
28,False,2018-02-04
23,False,2018-02-11
28,False,2018-02-18
30,False,2018-02-25
30,False,2018-03-04
24,False,2018-03-11
27,False,2018-03-18
28,False,2018-03-25
27,False,2018-04-01
22,False,2018-04-08
27,False,2018-04-15
26,False,2018-04-22
24,False,2018-04-29
27,False,2018-05-06
21,False,2018-05-13
24,False,2018-05-20
22,False,2018-05-27
100,False,2018-06-03
30,False,2018-06-10
25,False,2018-06-17
25,False,2018-06-24
23,False,2018-07-01
21,False,2018-07-08
25,False,2018-07-15
19,False,2018-07-22
14,False,2018-07-29
22,False,2018-08-05
21,False,2018-08-12
20,False,2018-08-19
18,False,2018-08-26
22,False,2018-09-02
39,False,2018-09-09
27,False,2018-09-16
26,False,2018-09-23
21,False,2018-09-30
28,False,2018-10-07
26,False,2018-10-14
23,False,2018-10-21
31,False,2018-10-28
23,False,2018-11-04
27,False,2018-11-11
17,False,2018-11-18
23,False,2018-11-25
29,False,2018-12-02
25,False,2018-12-09
20,False,2018-12-16
16,False,2018-12-23
15,False,2018-12-30
16,False,2019-01-06
23,False,2019-01-13
20,False,2019-01-20
21,False,2019-01-27
21,False,2019-02-03
18,False,2019-02-10
21,False,2019-02-17
23,False,2019-02-24
23,False,2019-03-03
22,False,2019-03-10
23,False,2019-03-17
25,False,2019-03-24
23,False,2019-03-31
24,False,2019-04-07
22,False,2019-04-14
30,False,2019-04-21
21,False,2019-04-28
25,False,2019-05-05
17,False,2019-05-12
19,False,2019-05-19
19,False,2019-05-26
12,False,2019-06-02
19,False,2019-06-09
9,False,2019-06-16
16,False,2019-06-23
12,False,2019-06-30
14,False,2019-07-07
12,False,2019-07-14
16,False,2019-07-21
13,False,2019-07-28
14,False,2019-08-04
14,False,2019-08-11
16,False,2019-08-18
19,False,2019-08-25
24,False,2019-09-01
43,False,2019-09-08
21,False,2019-09-15
25,False,2019-09-22
21,False,2019-09-29
21,False,2019-10-06
19,False,2019-10-13
18,False,2019-10-20
17,False,2019-10-27
25,False,2019-11-03
17,False,2019-11-10
18,False,2019-11-17
14,False,2019-11-24
19,False,2019-12-01
18,False,2019-12-08
22,False,2019-12-15
16,False,2019-12-22
15,False,2019-12-29
12,False,2020-01-05
18,False,2020-01-12
17,False,2020-01-19
15,False,2020-01-26
15,False,2020-02-02
17,False,2020-02-09
18,False,2020-02-16
18,False,2020-02-23
14,False,2020-03-01
13,False,2020-03-08
12,False,2020-03-15
16,False,2020-03-22
15,False,2020-03-29
13,False,2020-04-05
13,False,2020-04-12
11,False,2020-04-19
16,False,2020-04-26
13,False,2020-05-03
15,False,2020-05-10
18,False,2020-05-17
10,False,2020-05-24
17,False,2020-05-31
12,False,2020-06-07
14,False,2020-06-14
15,False,2020-06-21
12,False,2020-06-28
12,False,2020-07-05
15,False,2020-07-12
10,False,2020-07-19
11,False,2020-07-26
11,False,2020-08-02
10,False,2020-08-09
11,False,2020-08-16
14,False,2020-08-23
24,False,2020-08-30
35,False,2020-09-06
19,True,2020-09-13
