suicide risk assessment,isPartial,date
35,False,2019-01-06
34,False,2019-01-13
60,False,2019-01-20
46,False,2019-01-27
72,False,2019-02-03
62,False,2019-02-10
40,False,2019-02-17
55,False,2019-02-24
74,False,2019-03-03
58,False,2019-03-10
53,False,2019-03-17
100,False,2019-03-24
70,False,2019-03-31
64,False,2019-04-07
48,False,2019-04-14
36,False,2019-04-21
58,False,2019-04-28
53,False,2019-05-05
48,False,2019-05-12
36,False,2019-05-19
49,False,2019-05-26
44,False,2019-06-02
60,False,2019-06-09
48,False,2019-06-16
74,False,2019-06-23
56,False,2019-06-30
36,False,2019-07-07
54,False,2019-07-14
37,False,2019-07-21
18,False,2019-07-28
73,False,2019-08-04
71,False,2019-08-11
53,False,2019-08-18
25,False,2019-08-25
33,False,2019-09-01
71,False,2019-09-08
59,False,2019-09-15
83,False,2019-09-22
61,False,2019-09-29
61,False,2019-10-06
50,False,2019-10-13
65,False,2019-10-20
82,False,2019-10-27
33,False,2019-11-03
85,False,2019-11-10
91,False,2019-11-17
56,False,2019-11-24
53,False,2019-12-01
40,False,2019-12-08
66,False,2019-12-15
18,False,2019-12-22
68,False,2019-12-29
42,False,2020-01-05
46,False,2020-01-12
48,False,2020-01-19
52,False,2020-01-26
77,False,2020-02-02
62,False,2020-02-09
56,False,2020-02-16
80,False,2020-02-23
60,False,2020-03-01
50,False,2020-03-08
39,False,2020-03-15
28,False,2020-03-22
37,False,2020-03-29
61,False,2020-04-05
68,False,2020-04-12
49,False,2020-04-19
55,False,2020-04-26
46,False,2020-05-03
47,False,2020-05-10
42,False,2020-05-17
34,False,2020-05-24
28,False,2020-05-31
57,False,2020-06-07
35,False,2020-06-14
35,False,2020-06-21
31,False,2020-06-28
66,False,2020-07-05
46,False,2020-07-12
78,False,2020-07-19
58,False,2020-07-26
41,False,2020-08-02
51,False,2020-08-09
61,False,2020-08-16
44,False,2020-08-23
82,False,2020-08-30
