suicide support,isPartial,date
61,False,2015-09-20
84,False,2015-09-27
75,False,2015-10-04
46,False,2015-10-11
66,False,2015-10-18
68,False,2015-10-25
69,False,2015-11-01
80,False,2015-11-08
82,False,2015-11-15
60,False,2015-11-22
66,False,2015-11-29
68,False,2015-12-06
66,False,2015-12-13
42,False,2015-12-20
48,False,2015-12-27
67,False,2016-01-03
62,False,2016-01-10
43,False,2016-01-17
46,False,2016-01-24
62,False,2016-01-31
76,False,2016-02-07
62,False,2016-02-14
73,False,2016-02-21
89,False,2016-02-28
73,False,2016-03-06
57,False,2016-03-13
72,False,2016-03-20
81,False,2016-03-27
54,False,2016-04-03
72,False,2016-04-10
82,False,2016-04-17
85,False,2016-04-24
88,False,2016-05-01
84,False,2016-05-08
44,False,2016-05-15
53,False,2016-05-22
58,False,2016-05-29
53,False,2016-06-05
45,False,2016-06-12
42,False,2016-06-19
54,False,2016-06-26
41,False,2016-07-03
68,False,2016-07-10
98,False,2016-07-17
45,False,2016-07-24
87,False,2016-07-31
86,False,2016-08-07
55,False,2016-08-14
58,False,2016-08-21
65,False,2016-08-28
80,False,2016-09-04
68,False,2016-09-11
65,False,2016-09-18
86,False,2016-09-25
54,False,2016-10-02
75,False,2016-10-09
100,False,2016-10-16
57,False,2016-10-23
79,False,2016-10-30
84,False,2016-11-06
61,False,2016-11-13
46,False,2016-11-20
73,False,2016-11-27
59,False,2016-12-04
64,False,2016-12-11
49,False,2016-12-18
21,False,2016-12-25
30,False,2017-01-01
50,False,2017-01-08
71,False,2017-01-15
62,False,2017-01-22
69,False,2017-01-29
54,False,2017-02-05
58,False,2017-02-12
75,False,2017-02-19
59,False,2017-02-26
77,False,2017-03-05
38,False,2017-03-12
80,False,2017-03-19
72,False,2017-03-26
64,False,2017-04-02
77,False,2017-04-09
68,False,2017-04-16
70,False,2017-04-23
93,False,2017-04-30
64,False,2017-05-07
82,False,2017-05-14
56,False,2017-05-21
58,False,2017-05-28
47,False,2017-06-04
37,False,2017-06-11
46,False,2017-06-18
55,False,2017-06-25
30,False,2017-07-02
29,False,2017-07-09
57,False,2017-07-16
51,False,2017-07-23
63,False,2017-07-30
63,False,2017-08-06
30,False,2017-08-13
51,False,2017-08-20
37,False,2017-08-27
42,False,2017-09-03
78,False,2017-09-10
49,False,2017-09-17
69,False,2017-09-24
49,False,2017-10-01
44,False,2017-10-08
68,False,2017-10-15
75,False,2017-10-22
85,False,2017-10-29
68,False,2017-11-05
91,False,2017-11-12
60,False,2017-11-19
62,False,2017-11-26
63,False,2017-12-03
61,False,2017-12-10
54,False,2017-12-17
44,False,2017-12-24
48,False,2017-12-31
55,False,2018-01-07
53,False,2018-01-14
40,False,2018-01-21
72,False,2018-01-28
57,False,2018-02-04
50,False,2018-02-11
52,False,2018-02-18
78,False,2018-02-25
55,False,2018-03-04
85,False,2018-03-11
65,False,2018-03-18
47,False,2018-03-25
82,False,2018-04-01
58,False,2018-04-08
62,False,2018-04-15
70,False,2018-04-22
50,False,2018-04-29
46,False,2018-05-06
70,False,2018-05-13
63,False,2018-05-20
40,False,2018-05-27
92,False,2018-06-03
92,False,2018-06-10
47,False,2018-06-17
72,False,2018-06-24
52,False,2018-07-01
81,False,2018-07-08
67,False,2018-07-15
80,False,2018-07-22
45,False,2018-07-29
50,False,2018-08-05
45,False,2018-08-12
51,False,2018-08-19
55,False,2018-08-26
57,False,2018-09-02
87,False,2018-09-09
71,False,2018-09-16
90,False,2018-09-23
56,False,2018-09-30
52,False,2018-10-07
86,False,2018-10-14
74,False,2018-10-21
44,False,2018-10-28
82,False,2018-11-04
77,False,2018-11-11
54,False,2018-11-18
61,False,2018-11-25
53,False,2018-12-02
63,False,2018-12-09
52,False,2018-12-16
41,False,2018-12-23
46,False,2018-12-30
63,False,2019-01-06
44,False,2019-01-13
52,False,2019-01-20
44,False,2019-01-27
72,False,2019-02-03
66,False,2019-02-10
51,False,2019-02-17
51,False,2019-02-24
74,False,2019-03-03
72,False,2019-03-10
40,False,2019-03-17
86,False,2019-03-24
68,False,2019-03-31
55,False,2019-04-07
65,False,2019-04-14
54,False,2019-04-21
87,False,2019-04-28
48,False,2019-05-05
78,False,2019-05-12
81,False,2019-05-19
58,False,2019-05-26
92,False,2019-06-02
77,False,2019-06-09
67,False,2019-06-16
66,False,2019-06-23
46,False,2019-06-30
46,False,2019-07-07
39,False,2019-07-14
59,False,2019-07-21
48,False,2019-07-28
52,False,2019-08-04
56,False,2019-08-11
66,False,2019-08-18
41,False,2019-08-25
60,False,2019-09-01
78,False,2019-09-08
60,False,2019-09-15
64,False,2019-09-22
83,False,2019-09-29
72,False,2019-10-06
78,False,2019-10-13
68,False,2019-10-20
66,False,2019-10-27
68,False,2019-11-03
73,False,2019-11-10
69,False,2019-11-17
54,False,2019-11-24
68,False,2019-12-01
55,False,2019-12-08
47,False,2019-12-15
28,False,2019-12-22
44,False,2019-12-29
48,False,2020-01-05
52,False,2020-01-12
32,False,2020-01-19
49,False,2020-01-26
53,False,2020-02-02
67,False,2020-02-09
73,False,2020-02-16
76,False,2020-02-23
79,False,2020-03-01
40,False,2020-03-08
36,False,2020-03-15
45,False,2020-03-22
54,False,2020-03-29
24,False,2020-04-05
45,False,2020-04-12
64,False,2020-04-19
45,False,2020-04-26
59,False,2020-05-03
46,False,2020-05-10
42,False,2020-05-17
60,False,2020-05-24
30,False,2020-05-31
68,False,2020-06-07
58,False,2020-06-14
39,False,2020-06-21
42,False,2020-06-28
48,False,2020-07-05
50,False,2020-07-12
53,False,2020-07-19
54,False,2020-07-26
58,False,2020-08-02
57,False,2020-08-09
66,False,2020-08-16
44,False,2020-08-23
46,False,2020-08-30
87,False,2020-09-06
56,True,2020-09-13
