suicide support groups,isPartial,date
74,False,2019-01-06
48,False,2019-01-13
72,False,2019-01-20
72,False,2019-01-27
70,False,2019-02-03
40,False,2019-02-10
72,False,2019-02-17
31,False,2019-02-24
64,False,2019-03-03
73,False,2019-03-10
75,False,2019-03-17
91,False,2019-03-24
41,False,2019-03-31
65,False,2019-04-07
59,False,2019-04-14
34,False,2019-04-21
65,False,2019-04-28
49,False,2019-05-05
25,False,2019-05-12
85,False,2019-05-19
77,False,2019-05-26
100,False,2019-06-02
50,False,2019-06-09
68,False,2019-06-16
35,False,2019-06-23
79,False,2019-06-30
51,False,2019-07-07
93,False,2019-07-14
61,False,2019-07-21
43,False,2019-07-28
60,False,2019-08-04
58,False,2019-08-11
49,False,2019-08-18
48,False,2019-08-25
70,False,2019-09-01
99,False,2019-09-08
61,False,2019-09-15
81,False,2019-09-22
47,False,2019-09-29
47,False,2019-10-06
39,False,2019-10-13
68,False,2019-10-20
38,False,2019-10-27
61,False,2019-11-03
89,False,2019-11-10
68,False,2019-11-17
40,False,2019-11-24
44,False,2019-12-01
53,False,2019-12-08
58,False,2019-12-15
0,False,2019-12-22
36,False,2019-12-29
30,False,2020-01-05
50,False,2020-01-12
44,False,2020-01-19
51,False,2020-01-26
54,False,2020-02-02
43,False,2020-02-09
93,False,2020-02-16
63,False,2020-02-23
94,False,2020-03-01
63,False,2020-03-08
20,False,2020-03-15
60,False,2020-03-22
49,False,2020-03-29
20,False,2020-04-05
57,False,2020-04-12
25,False,2020-04-19
57,False,2020-04-26
26,False,2020-05-03
30,False,2020-05-10
26,False,2020-05-17
27,False,2020-05-24
33,False,2020-05-31
20,False,2020-06-07
31,False,2020-06-14
49,False,2020-06-21
22,False,2020-06-28
21,False,2020-07-05
29,False,2020-07-12
22,False,2020-07-19
44,False,2020-07-26
22,False,2020-08-02
29,False,2020-08-09
64,False,2020-08-16
62,False,2020-08-23
54,False,2020-08-30
