suicide survivor,isPartial,date
28,False,2015-09-20
14,False,2015-09-27
13,False,2015-10-04
22,False,2015-10-11
18,False,2015-10-18
18,False,2015-10-25
21,False,2015-11-01
14,False,2015-11-08
19,False,2015-11-15
14,False,2015-11-22
13,False,2015-11-29
17,False,2015-12-06
18,False,2015-12-13
15,False,2015-12-20
15,False,2015-12-27
26,False,2016-01-03
12,False,2016-01-10
16,False,2016-01-17
19,False,2016-01-24
4,False,2016-01-31
9,False,2016-02-07
19,False,2016-02-14
12,False,2016-02-21
17,False,2016-02-28
11,False,2016-03-06
9,False,2016-03-13
9,False,2016-03-20
9,False,2016-03-27
15,False,2016-04-03
12,False,2016-04-10
12,False,2016-04-17
15,False,2016-04-24
10,False,2016-05-01
12,False,2016-05-08
18,False,2016-05-15
18,False,2016-05-22
16,False,2016-05-29
8,False,2016-06-05
11,False,2016-06-12
17,False,2016-06-19
9,False,2016-06-26
15,False,2016-07-03
8,False,2016-07-10
12,False,2016-07-17
7,False,2016-07-24
14,False,2016-07-31
11,False,2016-08-07
18,False,2016-08-14
8,False,2016-08-21
14,False,2016-08-28
29,False,2016-09-04
9,False,2016-09-11
22,False,2016-09-18
26,False,2016-09-25
28,False,2016-10-02
22,False,2016-10-09
19,False,2016-10-16
15,False,2016-10-23
29,False,2016-10-30
17,False,2016-11-06
40,False,2016-11-13
18,False,2016-11-20
22,False,2016-11-27
20,False,2016-12-04
14,False,2016-12-11
15,False,2016-12-18
7,False,2016-12-25
10,False,2017-01-01
8,False,2017-01-08
18,False,2017-01-15
12,False,2017-01-22
8,False,2017-01-29
16,False,2017-02-05
14,False,2017-02-12
17,False,2017-02-19
11,False,2017-02-26
19,False,2017-03-05
9,False,2017-03-12
15,False,2017-03-19
11,False,2017-03-26
13,False,2017-04-02
12,False,2017-04-09
19,False,2017-04-16
8,False,2017-04-23
12,False,2017-04-30
12,False,2017-05-07
9,False,2017-05-14
13,False,2017-05-21
9,False,2017-05-28
15,False,2017-06-04
17,False,2017-06-11
11,False,2017-06-18
21,False,2017-06-25
9,False,2017-07-02
9,False,2017-07-09
13,False,2017-07-16
19,False,2017-07-23
10,False,2017-07-30
18,False,2017-08-06
11,False,2017-08-13
11,False,2017-08-20
11,False,2017-08-27
27,False,2017-09-03
17,False,2017-09-10
15,False,2017-09-17
22,False,2017-09-24
28,False,2017-10-01
17,False,2017-10-08
15,False,2017-10-15
13,False,2017-10-22
16,False,2017-10-29
22,False,2017-11-05
17,False,2017-11-12
17,False,2017-11-19
14,False,2017-11-26
14,False,2017-12-03
18,False,2017-12-10
11,False,2017-12-17
15,False,2017-12-24
11,False,2017-12-31
17,False,2018-01-07
12,False,2018-01-14
9,False,2018-01-21
19,False,2018-01-28
9,False,2018-02-04
11,False,2018-02-11
13,False,2018-02-18
11,False,2018-02-25
12,False,2018-03-04
17,False,2018-03-11
12,False,2018-03-18
9,False,2018-03-25
11,False,2018-04-01
14,False,2018-04-08
10,False,2018-04-15
6,False,2018-04-22
8,False,2018-04-29
13,False,2018-05-06
15,False,2018-05-13
12,False,2018-05-20
8,False,2018-05-27
20,False,2018-06-03
28,False,2018-06-10
15,False,2018-06-17
19,False,2018-06-24
18,False,2018-07-01
16,False,2018-07-08
12,False,2018-07-15
15,False,2018-07-22
19,False,2018-07-29
15,False,2018-08-05
59,False,2018-08-12
22,False,2018-08-19
27,False,2018-08-26
21,False,2018-09-02
18,False,2018-09-09
27,False,2018-09-16
16,False,2018-09-23
20,False,2018-09-30
23,False,2018-10-07
16,False,2018-10-14
22,False,2018-10-21
11,False,2018-10-28
15,False,2018-11-04
30,False,2018-11-11
15,False,2018-11-18
15,False,2018-11-25
10,False,2018-12-02
14,False,2018-12-09
9,False,2018-12-16
15,False,2018-12-23
8,False,2018-12-30
12,False,2019-01-06
10,False,2019-01-13
13,False,2019-01-20
11,False,2019-01-27
16,False,2019-02-03
15,False,2019-02-10
23,False,2019-02-17
14,False,2019-02-24
8,False,2019-03-03
13,False,2019-03-10
61,False,2019-03-17
100,False,2019-03-24
12,False,2019-03-31
18,False,2019-04-07
28,False,2019-04-14
12,False,2019-04-21
13,False,2019-04-28
17,False,2019-05-05
19,False,2019-05-12
30,False,2019-05-19
12,False,2019-05-26
14,False,2019-06-02
16,False,2019-06-09
15,False,2019-06-16
15,False,2019-06-23
12,False,2019-06-30
11,False,2019-07-07
15,False,2019-07-14
25,False,2019-07-21
11,False,2019-07-28
12,False,2019-08-04
21,False,2019-08-11
17,False,2019-08-18
20,False,2019-08-25
22,False,2019-09-01
30,False,2019-09-08
24,False,2019-09-15
16,False,2019-09-22
17,False,2019-09-29
18,False,2019-10-06
15,False,2019-10-13
20,False,2019-10-20
14,False,2019-10-27
18,False,2019-11-03
13,False,2019-11-10
26,False,2019-11-17
14,False,2019-11-24
12,False,2019-12-01
13,False,2019-12-08
7,False,2019-12-15
10,False,2019-12-22
23,False,2019-12-29
13,False,2020-01-05
13,False,2020-01-12
14,False,2020-01-19
13,False,2020-01-26
6,False,2020-02-02
15,False,2020-02-09
25,False,2020-02-16
20,False,2020-02-23
16,False,2020-03-01
7,False,2020-03-08
14,False,2020-03-15
13,False,2020-03-22
4,False,2020-03-29
6,False,2020-04-05
9,False,2020-04-12
5,False,2020-04-19
14,False,2020-04-26
14,False,2020-05-03
19,False,2020-05-10
14,False,2020-05-17
12,False,2020-05-24
8,False,2020-05-31
8,False,2020-06-07
4,False,2020-06-14
10,False,2020-06-21
17,False,2020-06-28
10,False,2020-07-05
19,False,2020-07-12
11,False,2020-07-19
17,False,2020-07-26
19,False,2020-08-02
10,False,2020-08-09
10,False,2020-08-16
9,False,2020-08-23
14,False,2020-08-30
26,False,2020-09-06
17,True,2020-09-13
