suicide survivor support group,isPartial,date
0,False,2015-09-20
0,False,2015-09-27
0,False,2015-10-04
0,False,2015-10-11
0,False,2015-10-18
60,False,2015-10-25
61,False,2015-11-01
0,False,2015-11-08
0,False,2015-11-15
0,False,2015-11-22
58,False,2015-11-29
0,False,2015-12-06
0,False,2015-12-13
0,False,2015-12-20
0,False,2015-12-27
0,False,2016-01-03
0,False,2016-01-10
0,False,2016-01-17
0,False,2016-01-24
0,False,2016-01-31
49,False,2016-02-07
0,False,2016-02-14
0,False,2016-02-21
73,False,2016-02-28
0,False,2016-03-06
0,False,2016-03-13
51,False,2016-03-20
51,False,2016-03-27
50,False,2016-04-03
0,False,2016-04-10
0,False,2016-04-17
0,False,2016-04-24
0,False,2016-05-01
0,False,2016-05-08
0,False,2016-05-15
0,False,2016-05-22
53,False,2016-05-29
0,False,2016-06-05
52,False,2016-06-12
0,False,2016-06-19
0,False,2016-06-26
0,False,2016-07-03
54,False,2016-07-10
0,False,2016-07-17
0,False,2016-07-24
0,False,2016-07-31
56,False,2016-08-07
0,False,2016-08-14
54,False,2016-08-21
0,False,2016-08-28
0,False,2016-09-04
50,False,2016-09-11
50,False,2016-09-18
0,False,2016-09-25
50,False,2016-10-02
51,False,2016-10-09
100,False,2016-10-16
0,False,2016-10-23
49,False,2016-10-30
0,False,2016-11-06
0,False,2016-11-13
0,False,2016-11-20
0,False,2016-11-27
45,False,2016-12-04
0,False,2016-12-11
0,False,2016-12-18
0,False,2016-12-25
0,False,2017-01-01
0,False,2017-01-08
0,False,2017-01-15
0,False,2017-01-22
45,False,2017-01-29
0,False,2017-02-05
0,False,2017-02-12
0,False,2017-02-19
0,False,2017-02-26
0,False,2017-03-05
0,False,2017-03-12
0,False,2017-03-19
0,False,2017-03-26
45,False,2017-04-02
0,False,2017-04-09
0,False,2017-04-16
0,False,2017-04-23
45,False,2017-04-30
46,False,2017-05-07
49,False,2017-05-14
0,False,2017-05-21
0,False,2017-05-28
0,False,2017-06-04
0,False,2017-06-11
0,False,2017-06-18
51,False,2017-06-25
0,False,2017-07-02
0,False,2017-07-09
0,False,2017-07-16
50,False,2017-07-23
47,False,2017-07-30
0,False,2017-08-06
0,False,2017-08-13
47,False,2017-08-20
46,False,2017-08-27
46,False,2017-09-03
45,False,2017-09-10
0,False,2017-09-17
47,False,2017-09-24
45,False,2017-10-01
45,False,2017-10-08
0,False,2017-10-15
46,False,2017-10-22
90,False,2017-10-29
44,False,2017-11-05
44,False,2017-11-12
47,False,2017-11-19
43,False,2017-11-26
0,False,2017-12-03
0,False,2017-12-10
47,False,2017-12-17
0,False,2017-12-24
0,False,2017-12-31
0,False,2018-01-07
44,False,2018-01-14
43,False,2018-01-21
43,False,2018-01-28
0,False,2018-02-04
87,False,2018-02-11
87,False,2018-02-18
0,False,2018-02-25
0,False,2018-03-04
43,False,2018-03-11
44,False,2018-03-18
45,False,2018-03-25
90,False,2018-04-01
44,False,2018-04-08
44,False,2018-04-15
44,False,2018-04-22
0,False,2018-04-29
0,False,2018-05-06
45,False,2018-05-13
0,False,2018-05-20
0,False,2018-05-27
46,False,2018-06-03
0,False,2018-06-10
0,False,2018-06-17
