suicide survivor tattoo,isPartial,date
0,False,2019-01-06
46,False,2019-01-13
0,False,2019-01-20
46,False,2019-01-27
45,False,2019-02-03
46,False,2019-02-10
46,False,2019-02-17
90,False,2019-02-24
46,False,2019-03-03
94,False,2019-03-10
47,False,2019-03-17
48,False,2019-03-24
0,False,2019-03-31
47,False,2019-04-07
0,False,2019-04-14
98,False,2019-04-21
47,False,2019-04-28
0,False,2019-05-05
49,False,2019-05-12
0,False,2019-05-19
49,False,2019-05-26
48,False,2019-06-02
0,False,2019-06-09
0,False,2019-06-16
100,False,2019-06-23
0,False,2019-06-30
48,False,2019-07-07
73,False,2019-07-14
50,False,2019-07-21
50,False,2019-07-28
0,False,2019-08-04
48,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
0,False,2019-09-08
43,False,2019-09-15
0,False,2019-09-22
59,False,2019-09-29
45,False,2019-10-06
44,False,2019-10-13
43,False,2019-10-20
0,False,2019-10-27
44,False,2019-11-03
0,False,2019-11-10
43,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
46,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
41,False,2020-02-02
42,False,2020-02-09
69,False,2020-02-16
40,False,2020-02-23
61,False,2020-03-01
40,False,2020-03-08
39,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
37,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
55,False,2020-05-03
38,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
38,False,2020-05-31
38,False,2020-06-07
0,False,2020-06-14
40,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
41,False,2020-07-12
42,False,2020-07-19
42,False,2020-07-26
42,False,2020-08-02
41,False,2020-08-09
41,False,2020-08-16
40,False,2020-08-23
0,False,2020-08-30
