suicide zero,isPartial,date
50,False,2019-01-06
29,False,2019-01-13
49,False,2019-01-20
29,False,2019-01-27
47,False,2019-02-03
38,False,2019-02-10
38,False,2019-02-17
19,False,2019-02-24
39,False,2019-03-03
39,False,2019-03-10
80,False,2019-03-17
39,False,2019-03-24
39,False,2019-03-31
49,False,2019-04-07
50,False,2019-04-14
51,False,2019-04-21
59,False,2019-04-28
40,False,2019-05-05
31,False,2019-05-12
0,False,2019-05-19
31,False,2019-05-26
30,False,2019-06-02
20,False,2019-06-09
51,False,2019-06-16
42,False,2019-06-23
21,False,2019-06-30
51,False,2019-07-07
41,False,2019-07-14
21,False,2019-07-21
62,False,2019-07-28
31,False,2019-08-04
80,False,2019-08-11
50,False,2019-08-18
19,False,2019-08-25
19,False,2019-09-01
55,False,2019-09-08
55,False,2019-09-15
18,False,2019-09-22
37,False,2019-09-29
37,False,2019-10-06
19,False,2019-10-13
55,False,2019-10-20
37,False,2019-10-27
18,False,2019-11-03
36,False,2019-11-10
45,False,2019-11-17
47,False,2019-11-24
18,False,2019-12-01
18,False,2019-12-08
37,False,2019-12-15
31,False,2019-12-22
19,False,2019-12-29
44,False,2020-01-05
51,False,2020-01-12
27,False,2020-01-19
35,False,2020-01-26
52,False,2020-02-02
44,False,2020-02-09
52,False,2020-02-16
34,False,2020-02-23
75,False,2020-03-01
100,False,2020-03-08
33,False,2020-03-15
48,False,2020-03-22
39,False,2020-03-29
48,False,2020-04-05
31,False,2020-04-12
45,False,2020-04-19
77,False,2020-04-26
39,False,2020-05-03
79,False,2020-05-10
63,False,2020-05-17
16,False,2020-05-24
31,False,2020-05-31
32,False,2020-06-07
50,False,2020-06-14
17,False,2020-06-21
69,False,2020-06-28
69,False,2020-07-05
87,False,2020-07-12
35,False,2020-07-19
62,False,2020-07-26
17,False,2020-08-02
34,False,2020-08-09
34,False,2020-08-16
67,False,2020-08-23
41,False,2020-08-30
