suicide help,isPartial,date
50,False,2019-09-22
38,False,2019-09-29
37,False,2019-10-06
25,False,2019-10-13
25,False,2019-10-20
49,False,2019-10-27
36,False,2019-11-03
36,False,2019-11-10
24,False,2019-11-17
0,False,2019-11-24
59,False,2019-12-01
48,False,2019-12-08
97,False,2019-12-15
25,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
45,False,2020-01-19
0,False,2020-01-26
33,False,2020-02-02
44,False,2020-02-09
32,False,2020-02-16
53,False,2020-02-23
21,False,2020-03-01
21,False,2020-03-08
42,False,2020-03-15
42,False,2020-03-22
41,False,2020-03-29
41,False,2020-04-05
0,False,2020-04-12
20,False,2020-04-19
31,False,2020-04-26
20,False,2020-05-03
20,False,2020-05-10
20,False,2020-05-17
62,False,2020-05-24
41,False,2020-05-31
21,False,2020-06-07
43,False,2020-06-14
22,False,2020-06-21
33,False,2020-06-28
0,False,2020-07-05
23,False,2020-07-12
23,False,2020-07-19
23,False,2020-07-26
23,False,2020-08-02
23,False,2020-08-09
46,False,2020-08-16
44,False,2020-08-23
22,False,2020-08-30
44,False,2020-09-06
100,True,2020-09-13
