suicide hotline,isPartial,date
72,False,2019-09-08
28,False,2019-09-15
53,False,2019-09-22
77,False,2019-09-29
44,False,2019-10-06
92,False,2019-10-13
83,False,2019-10-20
40,False,2019-10-27
50,False,2019-11-03
62,False,2019-11-10
79,False,2019-11-17
49,False,2019-11-24
69,False,2019-12-01
59,False,2019-12-08
90,False,2019-12-15
53,False,2019-12-22
54,False,2019-12-29
63,False,2020-01-05
57,False,2020-01-12
33,False,2020-01-19
68,False,2020-01-26
100,False,2020-02-02
50,False,2020-02-09
66,False,2020-02-16
69,False,2020-02-23
86,False,2020-03-01
61,False,2020-03-08
55,False,2020-03-15
48,False,2020-03-22
40,False,2020-03-29
43,False,2020-04-05
65,False,2020-04-12
52,False,2020-04-19
66,False,2020-04-26
59,False,2020-05-03
43,False,2020-05-10
76,False,2020-05-17
61,False,2020-05-24
37,False,2020-05-31
61,False,2020-06-07
52,False,2020-06-14
50,False,2020-06-21
80,False,2020-06-28
85,False,2020-07-05
70,False,2020-07-12
63,False,2020-07-19
71,False,2020-07-26
48,False,2020-08-02
63,False,2020-08-09
45,False,2020-08-16
54,False,2020-08-23
91,True,2020-08-30
