suicide hotline number,isPartial,date
69,False,2019-09-08
70,False,2019-09-15
53,False,2019-09-22
35,False,2019-09-29
58,False,2019-10-06
46,False,2019-10-13
35,False,2019-10-20
35,False,2019-10-27
34,False,2019-11-03
50,False,2019-11-10
68,False,2019-11-17
53,False,2019-11-24
100,False,2019-12-01
51,False,2019-12-08
51,False,2019-12-15
53,False,2019-12-22
50,False,2019-12-29
32,False,2020-01-05
61,False,2020-01-12
32,False,2020-01-19
0,False,2020-01-26
62,False,2020-02-02
31,False,2020-02-09
30,False,2020-02-16
59,False,2020-02-23
30,False,2020-03-01
44,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
29,False,2020-03-29
43,False,2020-04-05
42,False,2020-04-12
28,False,2020-04-19
48,False,2020-04-26
48,False,2020-05-03
43,False,2020-05-10
29,False,2020-05-17
44,False,2020-05-24
29,False,2020-05-31
59,False,2020-06-07
30,False,2020-06-14
62,False,2020-06-21
63,False,2020-06-28
32,False,2020-07-05
32,False,2020-07-12
48,False,2020-07-19
48,False,2020-07-26
0,False,2020-08-02
48,False,2020-08-09
65,False,2020-08-16
93,False,2020-08-23
0,True,2020-08-30
