suicide club + suicide group + suicide forum,isPartial,date
0,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
46,False,2019-01-27
45,False,2019-02-03
0,False,2019-02-10
0,False,2019-02-17
0,False,2019-02-24
45,False,2019-03-03
47,False,2019-03-10
48,False,2019-03-17
0,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
0,False,2019-04-14
50,False,2019-04-21
0,False,2019-04-28
0,False,2019-05-05
0,False,2019-05-12
0,False,2019-05-19
0,False,2019-05-26
0,False,2019-06-02
0,False,2019-06-09
48,False,2019-06-16
49,False,2019-06-23
0,False,2019-06-30
49,False,2019-07-07
49,False,2019-07-14
0,False,2019-07-21
100,False,2019-07-28
0,False,2019-08-04
0,False,2019-08-11
50,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
45,False,2019-09-08
68,False,2019-09-15
45,False,2019-09-22
45,False,2019-09-29
0,False,2019-10-06
46,False,2019-10-13
89,False,2019-10-20
87,False,2019-10-27
44,False,2019-11-03
43,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
42,False,2019-12-01
87,False,2019-12-08
43,False,2019-12-15
0,False,2019-12-22
45,False,2019-12-29
42,False,2020-01-05
0,False,2020-01-12
43,False,2020-01-19
42,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
41,False,2020-02-16
57,False,2020-02-23
0,False,2020-03-01
78,False,2020-03-08
0,False,2020-03-15
37,False,2020-03-22
0,False,2020-03-29
37,False,2020-04-05
35,False,2020-04-12
0,False,2020-04-19
35,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
36,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
91,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
80,False,2020-06-28
39,False,2020-07-05
0,False,2020-07-12
40,False,2020-07-19
41,False,2020-07-26
41,False,2020-08-02
0,False,2020-08-09
42,False,2020-08-16
40,False,2020-08-23
39,False,2020-08-30
