suicide prevention,isPartial,date
84,False,2019-09-08
34,False,2019-09-15
12,False,2019-09-22
27,False,2019-09-29
23,False,2019-10-06
29,False,2019-10-13
11,False,2019-10-20
12,False,2019-10-27
0,False,2019-11-03
22,False,2019-11-10
19,False,2019-11-17
18,False,2019-11-24
11,False,2019-12-01
11,False,2019-12-08
23,False,2019-12-15
25,False,2019-12-22
12,False,2019-12-29
22,False,2020-01-05
42,False,2020-01-12
11,False,2020-01-19
21,False,2020-01-26
10,False,2020-02-02
27,False,2020-02-09
15,False,2020-02-16
10,False,2020-02-23
20,False,2020-03-01
17,False,2020-03-08
10,False,2020-03-15
10,False,2020-03-22
29,False,2020-03-29
20,False,2020-04-05
16,False,2020-04-12
12,False,2020-04-19
19,False,2020-04-26
29,False,2020-05-03
15,False,2020-05-10
9,False,2020-05-17
0,False,2020-05-24
10,False,2020-05-31
19,False,2020-06-07
49,False,2020-06-14
10,False,2020-06-21
16,False,2020-06-28
10,False,2020-07-05
0,False,2020-07-12
11,False,2020-07-19
11,False,2020-07-26
21,False,2020-08-02
11,False,2020-08-09
11,False,2020-08-16
10,False,2020-08-23
100,True,2020-08-30
