suicide help,isPartial,date
38,False,2019-09-22
40,False,2019-09-29
0,False,2019-10-06
100,False,2019-10-13
40,False,2019-10-20
82,False,2019-10-27
0,False,2019-11-03
38,False,2019-11-10
76,False,2019-11-17
0,False,2019-11-24
38,False,2019-12-01
39,False,2019-12-08
39,False,2019-12-15
0,False,2019-12-22
40,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
37,False,2020-01-26
37,False,2020-02-02
0,False,2020-02-09
38,False,2020-02-16
72,False,2020-02-23
0,False,2020-03-01
53,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
34,False,2020-03-29
34,False,2020-04-05
68,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
33,False,2020-05-03
0,False,2020-05-10
66,False,2020-05-17
34,False,2020-05-24
0,False,2020-05-31
64,False,2020-06-07
34,False,2020-06-14
53,False,2020-06-21
36,False,2020-06-28
37,False,2020-07-05
38,False,2020-07-12
0,False,2020-07-19
37,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
37,False,2020-08-23
0,False,2020-08-30
35,False,2020-09-06
0,True,2020-09-13
