suicide hotline,isPartial,date
32,False,2019-09-22
11,False,2019-09-29
17,False,2019-10-06
38,False,2019-10-13
38,False,2019-10-20
28,False,2019-10-27
16,False,2019-11-03
41,False,2019-11-10
41,False,2019-11-17
32,False,2019-11-24
20,False,2019-12-01
37,False,2019-12-08
16,False,2019-12-15
35,False,2019-12-22
27,False,2019-12-29
15,False,2020-01-05
24,False,2020-01-12
36,False,2020-01-19
20,False,2020-01-26
20,False,2020-02-02
51,False,2020-02-09
31,False,2020-02-16
34,False,2020-02-23
33,False,2020-03-01
19,False,2020-03-08
24,False,2020-03-15
18,False,2020-03-22
23,False,2020-03-29
23,False,2020-04-05
32,False,2020-04-12
13,False,2020-04-19
26,False,2020-04-26
9,False,2020-05-03
27,False,2020-05-10
22,False,2020-05-17
32,False,2020-05-24
34,False,2020-05-31
57,False,2020-06-07
55,False,2020-06-14
52,False,2020-06-21
29,False,2020-06-28
30,False,2020-07-05
46,False,2020-07-12
36,False,2020-07-19
40,False,2020-07-26
25,False,2020-08-02
20,False,2020-08-09
39,False,2020-08-16
30,False,2020-08-23
48,False,2020-08-30
37,False,2020-09-06
100,True,2020-09-13
