how to use gun,isPartial,date
64,False,2019-09-01
63,False,2019-09-08
62,False,2019-09-15
32,False,2019-09-22
0,False,2019-09-29
100,False,2019-10-06
49,False,2019-10-13
32,False,2019-10-20
64,False,2019-10-27
31,False,2019-11-03
31,False,2019-11-10
61,False,2019-11-17
63,False,2019-11-24
41,False,2019-12-01
32,False,2019-12-08
32,False,2019-12-15
45,False,2019-12-22
33,False,2019-12-29
46,False,2020-01-05
44,False,2020-01-12
30,False,2020-01-19
89,False,2020-01-26
44,False,2020-02-02
29,False,2020-02-09
29,False,2020-02-16
28,False,2020-02-23
42,False,2020-03-01
0,False,2020-03-08
41,False,2020-03-15
40,False,2020-03-22
26,False,2020-03-29
62,False,2020-04-05
44,False,2020-04-12
39,False,2020-04-19
78,False,2020-04-26
79,False,2020-05-03
53,False,2020-05-10
36,False,2020-05-17
56,False,2020-05-24
26,False,2020-05-31
27,False,2020-06-07
41,False,2020-06-14
28,False,2020-06-21
29,False,2020-06-28
29,False,2020-07-05
29,False,2020-07-12
59,False,2020-07-19
59,False,2020-07-26
42,False,2020-08-02
55,False,2020-08-09
41,False,2020-08-16
42,False,2020-08-23
