easy ways to kill yourself,isPartial,date
9,False,2019-09-08
14,False,2019-09-15
21,False,2019-09-22
16,False,2019-09-29
7,False,2019-10-06
14,False,2019-10-13
7,False,2019-10-20
16,False,2019-10-27
14,False,2019-11-03
14,False,2019-11-10
24,False,2019-11-17
29,False,2019-11-24
16,False,2019-12-01
14,False,2019-12-08
7,False,2019-12-15
8,False,2019-12-22
7,False,2019-12-29
9,False,2020-01-05
6,False,2020-01-12
14,False,2020-01-19
23,False,2020-01-26
15,False,2020-02-02
11,False,2020-02-09
13,False,2020-02-16
13,False,2020-02-23
13,False,2020-03-01
13,False,2020-03-08
8,False,2020-03-15
12,False,2020-03-22
6,False,2020-03-29
9,False,2020-04-05
14,False,2020-04-12
8,False,2020-04-19
10,False,2020-04-26
9,False,2020-05-03
10,False,2020-05-10
10,False,2020-05-17
16,False,2020-05-24
6,False,2020-05-31
14,False,2020-06-07
11,False,2020-06-14
10,False,2020-06-21
10,False,2020-06-28
9,False,2020-07-05
11,False,2020-07-12
17,False,2020-07-19
11,False,2020-07-26
15,False,2020-08-02
10,False,2020-08-09
13,False,2020-08-16
16,False,2020-08-23
100,True,2020-08-30
