how to kill yourself -dayz -ark -rust,isPartial,date
61,False,2019-01-06
85,False,2019-01-13
74,False,2019-01-20
68,False,2019-01-27
82,False,2019-02-03
86,False,2019-02-10
100,False,2019-02-17
94,False,2019-02-24
99,False,2019-03-03
78,False,2019-03-10
77,False,2019-03-17
85,False,2019-03-24
68,False,2019-03-31
92,False,2019-04-07
63,False,2019-04-14
69,False,2019-04-21
69,False,2019-04-28
72,False,2019-05-05
75,False,2019-05-12
76,False,2019-05-19
89,False,2019-05-26
93,False,2019-06-02
68,False,2019-06-09
70,False,2019-06-16
79,False,2019-06-23
72,False,2019-06-30
66,False,2019-07-07
46,False,2019-07-14
74,False,2019-07-21
74,False,2019-07-28
66,False,2019-08-04
83,False,2019-08-11
64,False,2019-08-18
61,False,2019-08-25
67,False,2019-09-01
78,False,2019-09-08
83,False,2019-09-15
80,False,2019-09-22
87,False,2019-09-29
88,False,2019-10-06
73,False,2019-10-13
93,False,2019-10-20
81,False,2019-10-27
79,False,2019-11-03
84,False,2019-11-10
90,False,2019-11-17
73,False,2019-11-24
96,False,2019-12-01
73,False,2019-12-08
73,False,2019-12-15
73,False,2019-12-22
64,False,2019-12-29
66,False,2020-01-05
69,False,2020-01-12
81,False,2020-01-19
79,False,2020-01-26
69,False,2020-02-02
84,False,2020-02-09
81,False,2020-02-16
91,False,2020-02-23
76,False,2020-03-01
91,False,2020-03-08
72,False,2020-03-15
68,False,2020-03-22
64,False,2020-03-29
74,False,2020-04-05
72,False,2020-04-12
71,False,2020-04-19
79,False,2020-04-26
78,False,2020-05-03
78,False,2020-05-10
77,False,2020-05-17
72,False,2020-05-24
75,False,2020-05-31
69,False,2020-06-07
69,False,2020-06-14
75,False,2020-06-21
92,False,2020-06-28
80,False,2020-07-05
86,False,2020-07-12
97,False,2020-07-19
98,False,2020-07-26
75,False,2020-08-02
95,False,2020-08-09
79,False,2020-08-16
81,False,2020-08-23
87,False,2020-08-30
