how to painlessly kill yourself,isPartial,date
56,False,2015-09-20
0,False,2015-09-27
56,False,2015-10-04
37,False,2015-10-11
36,False,2015-10-18
72,False,2015-10-25
54,False,2015-11-01
0,False,2015-11-08
53,False,2015-11-15
39,False,2015-11-22
0,False,2015-11-29
35,False,2015-12-06
36,False,2015-12-13
42,False,2015-12-20
78,False,2015-12-27
92,False,2016-01-03
29,False,2016-01-10
30,False,2016-01-17
60,False,2016-01-24
49,False,2016-01-31
29,False,2016-02-07
30,False,2016-02-14
29,False,2016-02-21
58,False,2016-02-28
29,False,2016-03-06
0,False,2016-03-13
30,False,2016-03-20
61,False,2016-03-27
30,False,2016-04-03
0,False,2016-04-10
30,False,2016-04-17
59,False,2016-04-24
59,False,2016-05-01
30,False,2016-05-08
30,False,2016-05-15
31,False,2016-05-22
32,False,2016-05-29
46,False,2016-06-05
0,False,2016-06-12
31,False,2016-06-19
32,False,2016-06-26
66,False,2016-07-03
32,False,2016-07-10
32,False,2016-07-17
0,False,2016-07-24
32,False,2016-07-31
33,False,2016-08-07
34,False,2016-08-14
32,False,2016-08-21
31,False,2016-08-28
41,False,2016-09-04
50,False,2016-09-11
30,False,2016-09-18
45,False,2016-09-25
29,False,2016-10-02
30,False,2016-10-09
30,False,2016-10-16
30,False,2016-10-23
44,False,2016-10-30
28,False,2016-11-06
58,False,2016-11-13
0,False,2016-11-20
41,False,2016-11-27
54,False,2016-12-04
28,False,2016-12-11
45,False,2016-12-18
93,False,2016-12-25
43,False,2017-01-01
46,False,2017-01-08
64,False,2017-01-15
40,False,2017-01-22
27,False,2017-01-29
54,False,2017-02-05
27,False,2017-02-12
27,False,2017-02-19
26,False,2017-02-26
26,False,2017-03-05
53,False,2017-03-12
45,False,2017-03-19
27,False,2017-03-26
40,False,2017-04-02
37,False,2017-04-09
68,False,2017-04-16
27,False,2017-04-23
27,False,2017-04-30
28,False,2017-05-07
44,False,2017-05-14
30,False,2017-05-21
50,False,2017-05-28
49,False,2017-06-04
59,False,2017-06-11
48,False,2017-06-18
30,False,2017-06-25
94,False,2017-07-02
89,False,2017-07-09
50,False,2017-07-16
88,False,2017-07-23
48,False,2017-07-30
28,False,2017-08-06
77,False,2017-08-13
56,False,2017-08-20
55,False,2017-08-27
37,False,2017-09-03
27,False,2017-09-10
54,False,2017-09-17
28,False,2017-09-24
41,False,2017-10-01
40,False,2017-10-08
55,False,2017-10-15
27,False,2017-10-22
27,False,2017-10-29
71,False,2017-11-05
35,False,2017-11-12
0,False,2017-11-19
61,False,2017-11-26
40,False,2017-12-03
45,False,2017-12-10
28,False,2017-12-17
31,False,2017-12-24
56,False,2017-12-31
40,False,2018-01-07
80,False,2018-01-14
70,False,2018-01-21
43,False,2018-01-28
43,False,2018-02-04
39,False,2018-02-11
26,False,2018-02-18
39,False,2018-02-25
52,False,2018-03-04
35,False,2018-03-11
66,False,2018-03-18
27,False,2018-03-25
54,False,2018-04-01
26,False,2018-04-08
78,False,2018-04-15
26,False,2018-04-22
53,False,2018-04-29
53,False,2018-05-06
40,False,2018-05-13
55,False,2018-05-20
42,False,2018-05-27
82,False,2018-06-03
45,False,2018-06-10
37,False,2018-06-17
70,False,2018-06-24
29,False,2018-07-01
55,False,2018-07-08
28,False,2018-07-15
28,False,2018-07-22
0,False,2018-07-29
28,False,2018-08-05
28,False,2018-08-12
28,False,2018-08-19
0,False,2018-08-26
27,False,2018-09-02
26,False,2018-09-09
71,False,2018-09-16
36,False,2018-09-23
54,False,2018-09-30
81,False,2018-10-07
96,False,2018-10-14
27,False,2018-10-21
72,False,2018-10-28
34,False,2018-11-04
40,False,2018-11-11
66,False,2018-11-18
26,False,2018-11-25
52,False,2018-12-02
26,False,2018-12-09
27,False,2018-12-16
31,False,2018-12-23
57,False,2018-12-30
27,False,2019-01-06
26,False,2019-01-13
39,False,2019-01-20
26,False,2019-01-27
25,False,2019-02-03
43,False,2019-02-10
43,False,2019-02-17
34,False,2019-02-24
34,False,2019-03-03
52,False,2019-03-10
26,False,2019-03-17
27,False,2019-03-24
26,False,2019-03-31
26,False,2019-04-07
41,False,2019-04-14
27,False,2019-04-21
39,False,2019-04-28
0,False,2019-05-05
54,False,2019-05-12
27,False,2019-05-19
37,False,2019-05-26
27,False,2019-06-02
36,False,2019-06-09
27,False,2019-06-16
55,False,2019-06-23
71,False,2019-06-30
40,False,2019-07-07
27,False,2019-07-14
42,False,2019-07-21
56,False,2019-07-28
28,False,2019-08-04
27,False,2019-08-11
67,False,2019-08-18
51,False,2019-08-25
50,False,2019-09-01
25,False,2019-09-08
36,False,2019-09-15
49,False,2019-09-22
50,False,2019-09-29
33,False,2019-10-06
37,False,2019-10-13
49,False,2019-10-20
49,False,2019-10-27
98,False,2019-11-03
24,False,2019-11-10
73,False,2019-11-17
43,False,2019-11-24
47,False,2019-12-01
60,False,2019-12-08
100,False,2019-12-15
55,False,2019-12-22
26,False,2019-12-29
24,False,2020-01-05
23,False,2020-01-12
40,False,2020-01-19
47,False,2020-01-26
23,False,2020-02-02
35,False,2020-02-09
23,False,2020-02-16
45,False,2020-02-23
45,False,2020-03-01
37,False,2020-03-08
0,False,2020-03-15
22,False,2020-03-22
62,False,2020-03-29
21,False,2020-04-05
41,False,2020-04-12
31,False,2020-04-19
41,False,2020-04-26
42,False,2020-05-03
32,False,2020-05-10
21,False,2020-05-17
36,False,2020-05-24
42,False,2020-05-31
22,False,2020-06-07
22,False,2020-06-14
23,False,2020-06-21
54,False,2020-06-28
58,False,2020-07-05
23,False,2020-07-12
23,False,2020-07-19
24,False,2020-07-26
35,False,2020-08-02
46,False,2020-08-09
23,False,2020-08-16
29,False,2020-08-23
22,False,2020-08-30
44,False,2020-09-06
0,True,2020-09-13
