how to slowly kill yourself,isPartial,date
47,False,2019-09-01
0,False,2019-09-08
46,False,2019-09-15
0,False,2019-09-22
94,False,2019-09-29
47,False,2019-10-06
47,False,2019-10-13
45,False,2019-10-20
46,False,2019-10-27
46,False,2019-11-03
46,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
45,False,2019-12-01
0,False,2019-12-08
46,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
45,False,2020-01-05
43,False,2020-01-12
45,False,2020-01-19
44,False,2020-01-26
44,False,2020-02-02
88,False,2020-02-09
43,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
42,False,2020-03-08
41,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
40,False,2020-04-05
0,False,2020-04-12
39,False,2020-04-19
38,False,2020-04-26
39,False,2020-05-03
40,False,2020-05-10
40,False,2020-05-17
0,False,2020-05-24
100,False,2020-05-31
81,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
43,False,2020-06-28
44,False,2020-07-05
43,False,2020-07-12
0,False,2020-07-19
44,False,2020-07-26
43,False,2020-08-02
43,False,2020-08-09
43,False,2020-08-16
47,False,2020-08-23
