painless ways to kill yourself,isPartial,date
18,False,2015-09-20
18,False,2015-09-27
53,False,2015-10-04
18,False,2015-10-11
0,False,2015-10-18
0,False,2015-10-25
51,False,2015-11-01
17,False,2015-11-08
17,False,2015-11-15
0,False,2015-11-22
41,False,2015-11-29
34,False,2015-12-06
34,False,2015-12-13
40,False,2015-12-20
18,False,2015-12-27
0,False,2016-01-03
14,False,2016-01-10
14,False,2016-01-17
0,False,2016-01-24
21,False,2016-01-31
14,False,2016-02-07
28,False,2016-02-14
14,False,2016-02-21
14,False,2016-02-28
28,False,2016-03-06
21,False,2016-03-13
43,False,2016-03-20
22,False,2016-03-27
0,False,2016-04-03
14,False,2016-04-10
14,False,2016-04-17
28,False,2016-04-24
14,False,2016-05-01
14,False,2016-05-08
22,False,2016-05-15
15,False,2016-05-22
15,False,2016-05-29
0,False,2016-06-05
15,False,2016-06-12
15,False,2016-06-19
23,False,2016-06-26
23,False,2016-07-03
15,False,2016-07-10
15,False,2016-07-17
38,False,2016-07-24
23,False,2016-07-31
16,False,2016-08-07
40,False,2016-08-14
15,False,2016-08-21
59,False,2016-08-28
37,False,2016-09-04
0,False,2016-09-11
14,False,2016-09-18
14,False,2016-09-25
14,False,2016-10-02
100,False,2016-10-09
21,False,2016-10-16
21,False,2016-10-23
14,False,2016-10-30
27,False,2016-11-06
14,False,2016-11-13
43,False,2016-11-20
13,False,2016-11-27
19,False,2016-12-04
13,False,2016-12-11
29,False,2016-12-18
29,False,2016-12-25
14,False,2017-01-01
26,False,2017-01-08
0,False,2017-01-15
13,False,2017-01-22
13,False,2017-01-29
25,False,2017-02-05
13,False,2017-02-12
38,False,2017-02-19
24,False,2017-02-26
12,False,2017-03-05
25,False,2017-03-12
13,False,2017-03-19
32,False,2017-03-26
63,False,2017-04-02
27,False,2017-04-09
33,False,2017-04-16
39,False,2017-04-23
19,False,2017-04-30
26,False,2017-05-07
21,False,2017-05-14
14,False,2017-05-21
22,False,2017-05-28
14,False,2017-06-04
49,False,2017-06-11
20,False,2017-06-18
14,False,2017-06-25
30,False,2017-07-02
21,False,2017-07-09
43,False,2017-07-16
42,False,2017-07-23
54,False,2017-07-30
41,False,2017-08-06
27,False,2017-08-13
27,False,2017-08-20
20,False,2017-08-27
19,False,2017-09-03
19,False,2017-09-10
51,False,2017-09-17
26,False,2017-09-24
32,False,2017-10-01
38,False,2017-10-08
13,False,2017-10-15
19,False,2017-10-22
64,False,2017-10-29
13,False,2017-11-05
31,False,2017-11-12
41,False,2017-11-19
37,False,2017-11-26
63,False,2017-12-03
19,False,2017-12-10
27,False,2017-12-17
22,False,2017-12-24
33,False,2017-12-31
25,False,2018-01-07
25,False,2018-01-14
31,False,2018-01-21
24,False,2018-01-28
18,False,2018-02-04
49,False,2018-02-11
99,False,2018-02-18
12,False,2018-02-25
25,False,2018-03-04
37,False,2018-03-11
25,False,2018-03-18
13,False,2018-03-25
25,False,2018-04-01
19,False,2018-04-08
31,False,2018-04-15
50,False,2018-04-22
25,False,2018-04-29
13,False,2018-05-06
26,False,2018-05-13
13,False,2018-05-20
40,False,2018-05-27
26,False,2018-06-03
32,False,2018-06-10
26,False,2018-06-17
13,False,2018-06-24
27,False,2018-07-01
13,False,2018-07-08
20,False,2018-07-15
20,False,2018-07-22
52,False,2018-07-29
13,False,2018-08-05
27,False,2018-08-12
13,False,2018-08-19
20,False,2018-08-26
26,False,2018-09-02
25,False,2018-09-09
13,False,2018-09-16
25,False,2018-09-23
19,False,2018-09-30
13,False,2018-10-07
39,False,2018-10-14
13,False,2018-10-21
13,False,2018-10-28
18,False,2018-11-04
19,False,2018-11-11
33,False,2018-11-18
18,False,2018-11-25
25,False,2018-12-02
13,False,2018-12-09
26,False,2018-12-16
29,False,2018-12-23
34,False,2018-12-30
13,False,2019-01-06
18,False,2019-01-13
25,False,2019-01-20
12,False,2019-01-27
30,False,2019-02-03
30,False,2019-02-10
18,False,2019-02-17
24,False,2019-02-24
12,False,2019-03-03
19,False,2019-03-10
25,False,2019-03-17
13,False,2019-03-24
12,False,2019-03-31
12,False,2019-04-07
26,False,2019-04-14
0,False,2019-04-21
12,False,2019-04-28
13,False,2019-05-05
26,False,2019-05-12
19,False,2019-05-19
26,False,2019-05-26
0,False,2019-06-02
0,False,2019-06-09
13,False,2019-06-16
0,False,2019-06-23
0,False,2019-06-30
26,False,2019-07-07
0,False,2019-07-14
13,False,2019-07-21
20,False,2019-07-28
26,False,2019-08-04
32,False,2019-08-11
32,False,2019-08-18
24,False,2019-08-25
0,False,2019-09-01
35,False,2019-09-08
17,False,2019-09-15
0,False,2019-09-22
30,False,2019-09-29
30,False,2019-10-06
30,False,2019-10-13
12,False,2019-10-20
23,False,2019-10-27
46,False,2019-11-03
11,False,2019-11-10
35,False,2019-11-17
37,False,2019-11-24
17,False,2019-12-01
29,False,2019-12-08
0,False,2019-12-15
26,False,2019-12-22
25,False,2019-12-29
34,False,2020-01-05
16,False,2020-01-12
40,False,2020-01-19
11,False,2020-01-26
28,False,2020-02-02
44,False,2020-02-09
22,False,2020-02-16
22,False,2020-02-23
11,False,2020-03-01
16,False,2020-03-08
16,False,2020-03-15
15,False,2020-03-22
10,False,2020-03-29
10,False,2020-04-05
0,False,2020-04-12
15,False,2020-04-19
19,False,2020-04-26
10,False,2020-05-03
10,False,2020-05-10
15,False,2020-05-17
21,False,2020-05-24
10,False,2020-05-31
20,False,2020-06-07
32,False,2020-06-14
16,False,2020-06-21
22,False,2020-06-28
16,False,2020-07-05
0,False,2020-07-12
11,False,2020-07-19
28,False,2020-07-26
11,False,2020-08-02
22,False,2020-08-09
16,False,2020-08-16
21,False,2020-08-23
41,False,2020-08-30
31,False,2020-09-06
0,True,2020-09-13
