how to kill yourself -dayz -ark -rust,isPartial,date
21,False,2019-09-08
32,False,2019-09-15
11,False,2019-09-22
28,False,2019-09-29
21,False,2019-10-06
42,False,2019-10-13
16,False,2019-10-20
10,False,2019-10-27
31,False,2019-11-03
15,False,2019-11-10
21,False,2019-11-17
16,False,2019-11-24
30,False,2019-12-01
31,False,2019-12-08
26,False,2019-12-15
18,False,2019-12-22
25,False,2019-12-29
32,False,2020-01-05
31,False,2020-01-12
32,False,2020-01-19
38,False,2020-01-26
19,False,2020-02-02
22,False,2020-02-09
37,False,2020-02-16
18,False,2020-02-23
12,False,2020-03-01
21,False,2020-03-08
18,False,2020-03-15
9,False,2020-03-22
20,False,2020-03-29
23,False,2020-04-05
26,False,2020-04-12
21,False,2020-04-19
17,False,2020-04-26
23,False,2020-05-03
13,False,2020-05-10
15,False,2020-05-17
22,False,2020-05-24
9,False,2020-05-31
15,False,2020-06-07
21,False,2020-06-14
25,False,2020-06-21
33,False,2020-06-28
34,False,2020-07-05
23,False,2020-07-12
16,False,2020-07-19
13,False,2020-07-26
29,False,2020-08-02
23,False,2020-08-09
44,False,2020-08-16
19,False,2020-08-23
100,True,2020-08-30
