where to buy gun,isPartial,date
35,False,2019-09-01
18,False,2019-09-08
27,False,2019-09-15
0,False,2019-09-22
37,False,2019-09-29
18,False,2019-10-06
18,False,2019-10-13
27,False,2019-10-20
54,False,2019-10-27
29,False,2019-11-03
18,False,2019-11-10
30,False,2019-11-17
37,False,2019-11-24
0,False,2019-12-01
18,False,2019-12-08
35,False,2019-12-15
37,False,2019-12-22
0,False,2019-12-29
22,False,2020-01-05
48,False,2020-01-12
25,False,2020-01-19
16,False,2020-01-26
32,False,2020-02-02
48,False,2020-02-09
16,False,2020-02-16
15,False,2020-02-23
31,False,2020-03-01
23,False,2020-03-08
92,False,2020-03-15
62,False,2020-03-22
44,False,2020-03-29
35,False,2020-04-05
29,False,2020-04-12
36,False,2020-04-19
35,False,2020-04-26
35,False,2020-05-03
22,False,2020-05-10
35,False,2020-05-17
30,False,2020-05-24
100,False,2020-05-31
46,False,2020-06-07
47,False,2020-06-14
64,False,2020-06-21
49,False,2020-06-28
33,False,2020-07-05
44,False,2020-07-12
59,False,2020-07-19
33,False,2020-07-26
28,False,2020-08-02
22,False,2020-08-09
50,False,2020-08-16
40,False,2020-08-23
