how to die,isPartial,date
45,False,2019-09-01
29,False,2019-09-08
39,False,2019-09-15
34,False,2019-09-22
44,False,2019-09-29
30,False,2019-10-06
35,False,2019-10-13
65,False,2019-10-20
34,False,2019-10-27
34,False,2019-11-03
44,False,2019-11-10
58,False,2019-11-17
46,False,2019-11-24
34,False,2019-12-01
64,False,2019-12-08
20,False,2019-12-15
57,False,2019-12-22
37,False,2019-12-29
39,False,2020-01-05
50,False,2020-01-12
51,False,2020-01-19
70,False,2020-01-26
66,False,2020-02-02
61,False,2020-02-09
55,False,2020-02-16
27,False,2020-02-23
54,False,2020-03-01
73,False,2020-03-08
59,False,2020-03-15
83,False,2020-03-22
100,False,2020-03-29
55,False,2020-04-05
40,False,2020-04-12
73,False,2020-04-19
62,False,2020-04-26
58,False,2020-05-03
50,False,2020-05-10
49,False,2020-05-17
54,False,2020-05-24
54,False,2020-05-31
59,False,2020-06-07
55,False,2020-06-14
43,False,2020-06-21
44,False,2020-06-28
33,False,2020-07-05
48,False,2020-07-12
34,False,2020-07-19
49,False,2020-07-26
25,False,2020-08-02
59,False,2020-08-09
64,False,2020-08-16
29,False,2020-08-23
