how to kill yourself,isPartial,date
67,False,2019-09-01
66,False,2019-09-08
33,False,2019-09-15
33,False,2019-09-22
99,False,2019-09-29
50,False,2019-10-06
33,False,2019-10-13
33,False,2019-10-20
100,False,2019-10-27
66,False,2019-11-03
0,False,2019-11-10
33,False,2019-11-17
68,False,2019-11-24
32,False,2019-12-01
33,False,2019-12-08
34,False,2019-12-15
37,False,2019-12-22
34,False,2019-12-29
32,False,2020-01-05
30,False,2020-01-12
32,False,2020-01-19
0,False,2020-01-26
30,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
29,False,2020-03-01
0,False,2020-03-08
30,False,2020-03-15
0,False,2020-03-22
28,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
27,False,2020-04-19
28,False,2020-04-26
28,False,2020-05-03
28,False,2020-05-10
55,False,2020-05-17
28,False,2020-05-24
28,False,2020-05-31
28,False,2020-06-07
43,False,2020-06-14
58,False,2020-06-21
60,False,2020-06-28
30,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
31,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
