delusion,isPartial,date
20,False,2019-09-08
20,False,2019-09-15
0,False,2019-09-22
51,False,2019-09-29
21,False,2019-10-06
61,False,2019-10-13
100,False,2019-10-20
20,False,2019-10-27
19,False,2019-11-03
33,False,2019-11-10
39,False,2019-11-17
20,False,2019-11-24
58,False,2019-12-01
20,False,2019-12-08
20,False,2019-12-15
21,False,2019-12-22
27,False,2019-12-29
39,False,2020-01-05
18,False,2020-01-12
28,False,2020-01-19
19,False,2020-01-26
28,False,2020-02-02
18,False,2020-02-09
46,False,2020-02-16
36,False,2020-02-23
26,False,2020-03-01
18,False,2020-03-08
35,False,2020-03-15
17,False,2020-03-22
83,False,2020-03-29
50,False,2020-04-05
27,False,2020-04-12
24,False,2020-04-19
44,False,2020-04-26
33,False,2020-05-03
17,False,2020-05-10
23,False,2020-05-17
18,False,2020-05-24
22,False,2020-05-31
25,False,2020-06-07
29,False,2020-06-14
18,False,2020-06-21
27,False,2020-06-28
0,False,2020-07-05
43,False,2020-07-12
25,False,2020-07-19
31,False,2020-07-26
35,False,2020-08-02
17,False,2020-08-09
51,False,2020-08-16
34,False,2020-08-23
0,True,2020-08-30
