psychosis,isPartial,date
34,False,2019-09-08
47,False,2019-09-15
47,False,2019-09-22
48,False,2019-09-29
77,False,2019-10-06
48,False,2019-10-13
77,False,2019-10-20
31,False,2019-10-27
100,False,2019-11-03
63,False,2019-11-10
74,False,2019-11-17
25,False,2019-11-24
41,False,2019-12-01
26,False,2019-12-08
52,False,2019-12-15
60,False,2019-12-22
57,False,2019-12-29
41,False,2020-01-05
47,False,2020-01-12
89,False,2020-01-19
60,False,2020-01-26
51,False,2020-02-02
32,False,2020-02-09
59,False,2020-02-16
53,False,2020-02-23
53,False,2020-03-01
46,False,2020-03-08
41,False,2020-03-15
40,False,2020-03-22
21,False,2020-03-29
57,False,2020-04-05
56,False,2020-04-12
42,False,2020-04-19
28,False,2020-04-26
25,False,2020-05-03
47,False,2020-05-10
48,False,2020-05-17
79,False,2020-05-24
35,False,2020-05-31
25,False,2020-06-07
59,False,2020-06-14
57,False,2020-06-21
54,False,2020-06-28
79,False,2020-07-05
59,False,2020-07-12
56,False,2020-07-19
43,False,2020-07-26
52,False,2020-08-02
88,False,2020-08-09
37,False,2020-08-16
36,False,2020-08-23
89,True,2020-08-30
