psychotic,isPartial,date
54,False,2019-09-08
54,False,2019-09-15
41,False,2019-09-22
68,False,2019-09-29
43,False,2019-10-06
55,False,2019-10-13
72,False,2019-10-20
55,False,2019-10-27
61,False,2019-11-03
53,False,2019-11-10
39,False,2019-11-17
71,False,2019-11-24
52,False,2019-12-01
62,False,2019-12-08
27,False,2019-12-15
43,False,2019-12-22
37,False,2019-12-29
61,False,2020-01-05
49,False,2020-01-12
42,False,2020-01-19
50,False,2020-01-26
58,False,2020-02-02
83,False,2020-02-09
49,False,2020-02-16
84,False,2020-02-23
48,False,2020-03-01
48,False,2020-03-08
47,False,2020-03-15
57,False,2020-03-22
74,False,2020-03-29
56,False,2020-04-05
44,False,2020-04-12
66,False,2020-04-19
81,False,2020-04-26
67,False,2020-05-03
46,False,2020-05-10
54,False,2020-05-17
47,False,2020-05-24
45,False,2020-05-31
46,False,2020-06-07
31,False,2020-06-14
79,False,2020-06-21
25,False,2020-06-28
74,False,2020-07-05
62,False,2020-07-12
100,False,2020-07-19
49,False,2020-07-26
63,False,2020-08-02
46,False,2020-08-09
35,False,2020-08-16
80,False,2020-08-23
83,True,2020-08-30
