delusion,isPartial,date
58,False,2019-08-25
70,False,2019-09-01
62,False,2019-09-08
55,False,2019-09-15
62,False,2019-09-22
58,False,2019-09-29
48,False,2019-10-06
70,False,2019-10-13
100,False,2019-10-20
66,False,2019-10-27
76,False,2019-11-03
72,False,2019-11-10
72,False,2019-11-17
48,False,2019-11-24
61,False,2019-12-01
71,False,2019-12-08
65,False,2019-12-15
46,False,2019-12-22
49,False,2019-12-29
56,False,2020-01-05
62,False,2020-01-12
53,False,2020-01-19
61,False,2020-01-26
57,False,2020-02-02
65,False,2020-02-09
68,False,2020-02-16
59,False,2020-02-23
59,False,2020-03-01
49,False,2020-03-08
42,False,2020-03-15
55,False,2020-03-22
63,False,2020-03-29
74,False,2020-04-05
70,False,2020-04-12
66,False,2020-04-19
67,False,2020-04-26
64,False,2020-05-03
64,False,2020-05-10
62,False,2020-05-17
69,False,2020-05-24
50,False,2020-05-31
55,False,2020-06-07
55,False,2020-06-14
57,False,2020-06-21
50,False,2020-06-28
56,False,2020-07-05
61,False,2020-07-12
50,False,2020-07-19
43,False,2020-07-26
48,False,2020-08-02
51,False,2020-08-09
55,True,2020-08-16
