delusional,isPartial,date
74,False,2019-09-08
76,False,2019-09-15
90,False,2019-09-22
93,False,2019-09-29
82,False,2019-10-06
78,False,2019-10-13
81,False,2019-10-20
82,False,2019-10-27
86,False,2019-11-03
89,False,2019-11-10
95,False,2019-11-17
81,False,2019-11-24
91,False,2019-12-01
92,False,2019-12-08
93,False,2019-12-15
99,False,2019-12-22
99,False,2019-12-29
97,False,2020-01-05
91,False,2020-01-12
88,False,2020-01-19
87,False,2020-01-26
95,False,2020-02-02
95,False,2020-02-09
90,False,2020-02-16
90,False,2020-02-23
95,False,2020-03-01
81,False,2020-03-08
72,False,2020-03-15
100,False,2020-03-22
95,False,2020-03-29
81,False,2020-04-05
90,False,2020-04-12
89,False,2020-04-19
81,False,2020-04-26
82,False,2020-05-03
75,False,2020-05-10
85,False,2020-05-17
80,False,2020-05-24
85,False,2020-05-31
84,False,2020-06-07
85,False,2020-06-14
92,False,2020-06-21
85,False,2020-06-28
85,False,2020-07-05
87,False,2020-07-12
87,False,2020-07-19
87,False,2020-07-26
88,False,2020-08-02
71,False,2020-08-09
74,False,2020-08-16
84,False,2020-08-23
68,True,2020-08-30
