delusion,isPartial,date
35,False,2019-08-25
43,False,2019-09-01
45,False,2019-09-08
36,False,2019-09-15
72,False,2019-09-22
36,False,2019-09-29
40,False,2019-10-06
49,False,2019-10-13
79,False,2019-10-20
100,False,2019-10-27
39,False,2019-11-03
39,False,2019-11-10
83,False,2019-11-17
41,False,2019-11-24
38,False,2019-12-01
61,False,2019-12-08
52,False,2019-12-15
36,False,2019-12-22
43,False,2019-12-29
45,False,2020-01-05
39,False,2020-01-12
49,False,2020-01-19
28,False,2020-01-26
20,False,2020-02-02
32,False,2020-02-09
54,False,2020-02-16
46,False,2020-02-23
50,False,2020-03-01
34,False,2020-03-08
46,False,2020-03-15
61,False,2020-03-22
51,False,2020-03-29
37,False,2020-04-05
47,False,2020-04-12
46,False,2020-04-19
37,False,2020-04-26
55,False,2020-05-03
41,False,2020-05-10
44,False,2020-05-17
23,False,2020-05-24
29,False,2020-05-31
34,False,2020-06-07
27,False,2020-06-14
40,False,2020-06-21
28,False,2020-06-28
49,False,2020-07-05
45,False,2020-07-12
41,False,2020-07-19
46,False,2020-07-26
33,False,2020-08-02
41,False,2020-08-09
50,True,2020-08-16
