delusional,isPartial,date
37,False,2019-08-25
55,False,2019-09-01
56,False,2019-09-08
51,False,2019-09-15
43,False,2019-09-22
80,False,2019-09-29
75,False,2019-10-06
79,False,2019-10-13
64,False,2019-10-20
94,False,2019-10-27
63,False,2019-11-03
59,False,2019-11-10
51,False,2019-11-17
81,False,2019-11-24
27,False,2019-12-01
55,False,2019-12-08
48,False,2019-12-15
81,False,2019-12-22
76,False,2019-12-29
78,False,2020-01-05
70,False,2020-01-12
68,False,2020-01-19
46,False,2020-01-26
75,False,2020-02-02
67,False,2020-02-09
81,False,2020-02-16
64,False,2020-02-23
52,False,2020-03-01
64,False,2020-03-08
68,False,2020-03-15
80,False,2020-03-22
81,False,2020-03-29
85,False,2020-04-05
64,False,2020-04-12
45,False,2020-04-19
100,False,2020-04-26
96,False,2020-05-03
66,False,2020-05-10
58,False,2020-05-17
76,False,2020-05-24
85,False,2020-05-31
56,False,2020-06-07
69,False,2020-06-14
50,False,2020-06-21
76,False,2020-06-28
69,False,2020-07-05
43,False,2020-07-12
82,False,2020-07-19
57,False,2020-07-26
73,False,2020-08-02
70,False,2020-08-09
76,True,2020-08-16
