hallucinate,isPartial,date
0,False,2019-09-08
49,False,2019-09-15
0,False,2019-09-22
49,False,2019-09-29
50,False,2019-10-06
0,False,2019-10-13
100,False,2019-10-20
0,False,2019-10-27
49,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
48,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
52,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
47,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
46,False,2020-03-08
91,False,2020-03-15
87,False,2020-03-22
41,False,2020-03-29
42,False,2020-04-05
40,False,2020-04-12
41,False,2020-04-19
0,False,2020-04-26
41,False,2020-05-03
42,False,2020-05-10
0,False,2020-05-17
45,False,2020-05-24
45,False,2020-05-31
45,False,2020-06-07
46,False,2020-06-14
48,False,2020-06-21
0,False,2020-06-28
46,False,2020-07-05
0,False,2020-07-12
49,False,2020-07-19
49,False,2020-07-26
0,False,2020-08-02
49,False,2020-08-09
0,False,2020-08-16
95,False,2020-08-23
0,True,2020-08-30
