paranoid,isPartial,date
25,False,2019-08-25
25,False,2019-09-01
37,False,2019-09-08
32,False,2019-09-15
49,False,2019-09-22
49,False,2019-09-29
25,False,2019-10-06
100,False,2019-10-13
58,False,2019-10-20
49,False,2019-10-27
33,False,2019-11-03
24,False,2019-11-10
40,False,2019-11-17
90,False,2019-11-24
24,False,2019-12-01
74,False,2019-12-08
37,False,2019-12-15
71,False,2019-12-22
26,False,2019-12-29
40,False,2020-01-05
46,False,2020-01-12
23,False,2020-01-19
23,False,2020-01-26
24,False,2020-02-02
39,False,2020-02-09
69,False,2020-02-16
22,False,2020-02-23
46,False,2020-03-01
34,False,2020-03-08
53,False,2020-03-15
44,False,2020-03-22
35,False,2020-03-29
32,False,2020-04-05
40,False,2020-04-12
34,False,2020-04-19
34,False,2020-04-26
31,False,2020-05-03
53,False,2020-05-10
22,False,2020-05-17
30,False,2020-05-24
68,False,2020-05-31
23,False,2020-06-07
39,False,2020-06-14
32,False,2020-06-21
49,False,2020-06-28
23,False,2020-07-05
48,False,2020-07-12
32,False,2020-07-19
41,False,2020-07-26
33,False,2020-08-02
33,False,2020-08-09
42,True,2020-08-16
