psychotic,isPartial,date
0,False,2019-09-08
0,False,2019-09-15
27,False,2019-09-22
13,False,2019-09-29
0,False,2019-10-06
13,False,2019-10-13
13,False,2019-10-20
13,False,2019-10-27
20,False,2019-11-03
13,False,2019-11-10
39,False,2019-11-17
14,False,2019-11-24
19,False,2019-12-01
18,False,2019-12-08
13,False,2019-12-15
15,False,2019-12-22
21,False,2019-12-29
0,False,2020-01-05
12,False,2020-01-12
38,False,2020-01-19
19,False,2020-01-26
31,False,2020-02-02
0,False,2020-02-09
25,False,2020-02-16
18,False,2020-02-23
12,False,2020-03-01
25,False,2020-03-08
0,False,2020-03-15
12,False,2020-03-22
11,False,2020-03-29
11,False,2020-04-05
11,False,2020-04-12
16,False,2020-04-19
11,False,2020-04-26
11,False,2020-05-03
17,False,2020-05-10
20,False,2020-05-17
0,False,2020-05-24
36,False,2020-05-31
18,False,2020-06-07
17,False,2020-06-14
13,False,2020-06-21
13,False,2020-06-28
13,False,2020-07-05
26,False,2020-07-12
13,False,2020-07-19
0,False,2020-07-26
13,False,2020-08-02
13,False,2020-08-09
20,False,2020-08-16
19,False,2020-08-23
100,True,2020-08-30
