hallucination,isPartial,date
60,False,2019-08-25
64,False,2019-09-01
78,False,2019-09-08
77,False,2019-09-15
78,False,2019-09-22
88,False,2019-09-29
85,False,2019-10-06
74,False,2019-10-13
100,False,2019-10-20
81,False,2019-10-27
89,False,2019-11-03
68,False,2019-11-10
97,False,2019-11-17
87,False,2019-11-24
93,False,2019-12-01
94,False,2019-12-08
64,False,2019-12-15
62,False,2019-12-22
61,False,2019-12-29
67,False,2020-01-05
69,False,2020-01-12
64,False,2020-01-19
73,False,2020-01-26
63,False,2020-02-02
89,False,2020-02-09
71,False,2020-02-16
75,False,2020-02-23
73,False,2020-03-01
72,False,2020-03-08
59,False,2020-03-15
58,False,2020-03-22
70,False,2020-03-29
90,False,2020-04-05
85,False,2020-04-12
92,False,2020-04-19
83,False,2020-04-26
86,False,2020-05-03
74,False,2020-05-10
74,False,2020-05-17
61,False,2020-05-24
69,False,2020-05-31
63,False,2020-06-07
71,False,2020-06-14
59,False,2020-06-21
56,False,2020-06-28
61,False,2020-07-05
53,False,2020-07-12
57,False,2020-07-19
63,False,2020-07-26
52,False,2020-08-02
58,False,2020-08-09
63,True,2020-08-16
