paranoid,isPartial,date
29,False,2019-08-25
25,False,2019-09-01
17,False,2019-09-08
34,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
18,False,2019-10-13
25,False,2019-10-20
17,False,2019-10-27
34,False,2019-11-03
23,False,2019-11-10
0,False,2019-11-17
36,False,2019-11-24
34,False,2019-12-01
17,False,2019-12-08
18,False,2019-12-15
20,False,2019-12-22
27,False,2019-12-29
17,False,2020-01-05
24,False,2020-01-12
0,False,2020-01-19
17,False,2020-01-26
0,False,2020-02-02
100,False,2020-02-09
17,False,2020-02-16
24,False,2020-02-23
16,False,2020-03-01
39,False,2020-03-08
15,False,2020-03-15
14,False,2020-03-22
13,False,2020-03-29
14,False,2020-04-05
27,False,2020-04-12
14,False,2020-04-19
20,False,2020-04-26
0,False,2020-05-03
14,False,2020-05-10
15,False,2020-05-17
30,False,2020-05-24
14,False,2020-05-31
14,False,2020-06-07
23,False,2020-06-14
0,False,2020-06-21
0,False,2020-06-28
15,False,2020-07-05
15,False,2020-07-12
0,False,2020-07-19
22,False,2020-07-26
22,False,2020-08-02
15,False,2020-08-09
25,True,2020-08-16
